transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
zoom_blur_level 1,89.11,77.89,50.81,0.168341,85.76,74.93,44.71,0.156432,89.25,73.05,21.79,0.078175,96.05,80.43,56.93,0.1682,95.83,87.15,30.82,0.14957,97.37,94.64,45.88,0.163847,99.05,97.5,51.88,0.127446,81.37,59.98,41.8,0.117213,91.4,87.05,48.65,0.140332,90.12,69.68,8.78,0.164317,91.19,79.34,57.37,0.178183,96.6,76.8,44.89,0.142988,85.44,75.46,38.72,0.165428,92.78,67.86,61.2,0.175091,53.42,32.0,13.94,0.161705,88.98,75.58,41.21,0.150485
zoom_blur_level 2,87.65,76.39,48.31,0.171663,84.12,71.06,39.26,0.160426,88.87,70.04,16.81,0.080125,95.28,76.21,54.05,0.169886,91.84,70.98,28.43,0.152691,97.07,92.95,41.75,0.165137,98.86,96.6,47.66,0.129252,79.22,54.61,39.66,0.121895,90.81,83.03,42.76,0.144591,91.97,72.59,7.95,0.162055,89.85,75.93,55.98,0.183265,95.33,72.63,42.58,0.145193,83.04,72.07,37.71,0.171869,92.62,69.16,57.0,0.175584,51.25,25.92,7.94,0.166668,87.85,72.01,37.86,0.153353
zoom_blur_level 3,84.66,74.37,48.79,0.168737,83.92,67.7,32.11,0.16284,90.5,71.34,13.3,0.080932,95.07,74.48,56.24,0.171128,88.56,68.44,27.94,0.141525,96.0,91.92,37.79,0.16607,98.41,95.45,42.21,0.130713,76.07,48.55,36.68,0.124269,88.89,79.03,36.67,0.149083,93.22,75.9,7.35,0.163861,91.9,77.9,60.5,0.185355,94.09,67.93,40.73,0.150178,82.24,69.08,34.69,0.176543,92.89,68.14,53.76,0.176812,50.67,22.01,5.46,0.169778,87.14,70.15,35.61,0.154522
zoom_blur_level 4,82.17,71.06,45.81,0.171257,82.6,62.86,27.76,0.164485,89.61,69.37,12.27,0.099457,94.98,73.96,56.39,0.172093,85.72,63.65,23.17,0.146203,95.59,90.44,35.34,0.16575,96.97,94.0,38.16,0.133448,74.8,45.14,35.66,0.127312,88.71,75.22,35.15,0.150508,93.34,76.44,7.04,0.166556,90.95,76.47,59.75,0.18805,92.86,63.91,37.3,0.153535,80.07,63.26,32.36,0.181943,91.88,65.96,51.44,0.17604,50.73,19.81,5.53,0.171279,86.07,67.44,33.54,0.157861
brightness_level 1,97.96,94.7,76.87,0.139909,93.24,85.9,57.84,0.140013,97.41,88.03,39.68,0.073211,99.51,98.16,72.63,0.147618,98.61,96.82,45.6,0.135808,98.28,93.51,60.66,0.150521,99.24,97.45,47.1,0.109468,92.62,87.32,67.01,0.108853,93.51,92.67,60.57,0.120516,94.53,81.45,16.94,0.153276,95.75,90.57,67.83,0.159503,99.11,89.21,65.07,0.131195,89.81,66.31,51.47,0.143129,97.18,91.06,71.13,0.153825,91.55,80.15,39.08,0.09457,95.89,88.89,55.97,0.130761
brightness_level 2,98.1,94.84,77.03,0.143665,93.4,85.31,58.51,0.141574,96.34,84.8,35.28,0.077578,99.51,98.04,72.69,0.150363,98.54,96.89,45.29,0.139885,98.3,93.57,61.12,0.152483,99.23,97.33,46.62,0.110867,91.61,87.41,66.09,0.110529,92.82,92.2,61.1,0.122827,89.27,67.57,15.21,0.157461,95.34,90.13,67.65,0.160234,99.04,88.05,64.5,0.132112,89.46,65.06,51.08,0.14718,96.93,90.51,70.87,0.152521,89.05,75.4,38.89,0.100953,95.13,87.14,55.46,0.133349
brightness_level 3,98.21,94.85,76.64,0.147363,93.74,85.29,59.76,0.142637,95.85,82.27,34.28,0.078211,99.5,98.12,72.74,0.151609,98.44,97.28,45.29,0.139839,98.21,92.83,61.63,0.153066,99.24,97.4,46.52,0.112638,89.94,86.01,63.79,0.11257,90.41,87.86,56.54,0.133418,81.44,55.09,15.75,0.163155,95.25,90.66,67.67,0.16109,98.85,85.03,63.4,0.132861,89.16,64.25,49.81,0.150658,97.13,90.41,72.24,0.153266,89.15,75.16,39.16,0.103898,94.3,85.5,55.01,0.135752
brightness_level 4,98.26,94.6,76.42,0.151826,93.83,86.06,60.54,0.14436,95.08,80.04,29.63,0.079377,99.48,98.04,72.86,0.152649,98.34,97.39,45.49,0.142385,97.9,91.34,60.59,0.154133,99.23,97.53,46.54,0.114356,87.66,84.7,60.0,0.11659,85.38,79.26,41.47,0.142,79.95,53.52,14.69,0.167224,94.55,89.58,66.84,0.163654,98.38,78.82,61.73,0.135754,88.55,62.41,46.84,0.156708,97.01,90.02,71.03,0.145729,89.67,75.91,39.5,0.105012,93.55,83.95,52.94,0.138117
contrast_level 1,91.77,82.47,68.96,0.153437,92.65,84.55,55.69,0.142601,94.67,82.63,29.81,0.078886,99.55,97.36,75.4,0.146487,97.08,91.49,39.2,0.126451,98.58,92.9,67.08,0.155266,99.46,98.22,50.71,0.101405,92.83,86.03,65.31,0.113957,92.47,88.54,57.31,0.125707,93.81,82.13,13.38,0.151425,95.16,88.61,68.02,0.155821,99.0,91.34,66.75,0.127629,89.39,76.36,41.63,0.140968,95.41,91.13,59.26,0.134554,80.42,61.23,21.32,0.13782,94.15,86.33,51.99,0.132828
contrast_level 2,89.44,80.01,68.12,0.15766,92.29,83.47,55.57,0.143854,92.33,76.15,26.88,0.076193,99.53,97.06,75.47,0.146911,96.74,90.74,39.18,0.128644,98.38,91.54,64.53,0.155554,99.47,98.27,50.88,0.098343,92.55,84.46,64.26,0.116379,91.36,86.91,53.35,0.129169,92.95,80.48,13.34,0.154835,94.46,86.92,66.98,0.157144,99.01,91.18,66.92,0.128745,88.89,75.26,40.6,0.144416,94.7,88.58,58.01,0.133278,77.68,56.93,20.93,0.138398,93.32,84.53,51.0,0.133968
contrast_level 3,86.84,77.75,66.87,0.161799,91.36,82.31,54.36,0.14652,85.57,53.39,20.56,0.085469,99.5,96.71,75.58,0.147602,96.22,90.62,38.85,0.124562,98.23,89.14,59.0,0.15491,99.34,97.82,48.15,0.093911,91.65,81.0,60.94,0.119699,90.08,85.4,47.72,0.13219,91.91,79.46,12.48,0.158478,92.73,84.16,64.08,0.159544,98.98,90.61,67.69,0.1289,87.39,71.38,37.13,0.152154,91.15,79.45,51.96,0.124749,67.28,47.05,19.99,0.141855,91.22,80.42,48.36,0.135489
