transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
contrast_level 1,100.0,100.0,100.0,0.151278,91.75,95.54,86.75,0.132433,98.65,99.74,97.2,0.067505,100.0,100.0,100.0,0.129027,96.79,99.13,98.18,0.078692,98.29,99.27,98.55,0.174428,100.0,100.0,100.0,0.134935,94.66,98.74,94.62,0.111041,91.21,98.29,94.44,0.089295,65.34,81.57,87.88,0.098758,99.7,99.89,98.8,0.131413,98.89,99.58,96.77,0.1537,92.33,89.66,84.21,0.117943,99.63,99.89,98.36,0.118386,84.0,95.37,90.62,0.068342,94.08,97.11,95.09,0.117145
contrast_level 2,98.39,99.48,96.87,0.153477,92.5,95.76,87.13,0.131809,91.41,98.35,93.46,0.069586,100.0,100.0,100.0,0.130691,96.79,99.13,98.18,0.077852,98.14,99.23,98.55,0.175417,100.0,100.0,100.0,0.133668,93.08,98.32,94.62,0.113832,85.38,96.86,94.59,0.092124,65.93,82.26,87.02,0.10131,98.36,99.47,97.56,0.134294,97.78,99.22,96.55,0.171168,88.83,87.82,82.93,0.120263,99.26,99.79,98.31,0.122223,79.56,93.95,90.62,0.071927,92.36,96.64,94.43,0.119976
contrast_level 3,94.19,98.46,95.08,0.156966,93.03,96.36,89.16,0.142533,80.13,95.83,91.53,0.070396,100.0,100.0,100.0,0.132416,96.07,98.88,96.3,0.078617,97.57,99.07,98.55,0.177043,99.73,99.91,98.92,0.136046,87.94,96.97,92.31,0.11793,76.59,94.28,92.2,0.100975,64.58,81.16,86.13,0.098967,97.92,99.25,96.39,0.136439,97.78,99.22,96.55,0.174018,86.83,87.24,78.79,0.129618,98.15,99.5,96.67,0.125574,76.06,92.96,89.23,0.080096,89.77,95.94,93.19,0.123842
contrast_level 4,91.29,97.48,90.32,0.163696,82.76,91.54,81.93,0.160888,54.04,86.76,91.53,0.085167,97.89,99.46,97.73,0.137827,90.0,96.64,91.53,0.077911,97.57,98.91,95.65,0.178235,96.2,98.86,95.56,0.152682,83.4,95.7,91.3,0.123449,63.19,89.24,91.89,0.12904,55.08,77.43,85.51,0.108616,89.58,96.33,88.42,0.141634,97.78,99.22,96.55,0.174086,74.67,71.23,68.09,0.141025,80.74,93.96,89.55,0.130033,89.3,96.74,93.33,0.106273,82.9,92.63,89.93,0.134037
rotation_level 1,73.47,90.29,86.36,0.166001,84.84,90.68,85.29,0.128277,80.07,95.15,92.5,0.076806,91.33,97.41,89.66,0.16156,95.49,98.42,95.0,0.097672,99.11,99.54,97.87,0.176094,87.39,95.73,90.62,0.163525,92.74,98.25,92.31,0.107349,90.07,98.14,92.93,0.090415,55.36,80.81,86.02,0.113945,99.03,99.65,98.18,0.168298,87.5,94.97,90.91,0.158634,77.86,77.78,68.57,0.134767,97.14,99.17,97.44,0.163409,82.95,94.83,89.41,0.063609,86.29,94.05,90.2,0.131357
rotation_level 2,76.19,91.89,87.5,0.164173,69.68,83.47,76.92,0.123935,85.47,96.32,93.67,0.079447,81.0,92.97,90.91,0.150569,90.98,97.3,91.89,0.101679,100.0,100.0,100.0,0.175981,74.49,91.68,85.29,0.161849,84.68,96.49,89.86,0.105164,88.65,97.97,91.26,0.08346,50.71,73.39,86.96,0.113494,99.03,99.65,98.18,0.16987,75.0,91.39,83.33,0.16204,84.29,83.13,80.0,0.142987,100.0,100.0,100.0,0.155212,83.18,95.08,89.41,0.066458,82.89,92.72,89.68,0.130421
rotation_level 3,76.19,92.61,87.5,0.173737,71.77,85.59,77.5,0.12706,75.68,94.22,90.24,0.08161,75.33,88.9,90.62,0.168873,87.97,95.64,90.48,0.097784,99.7,99.83,97.96,0.176106,82.4,94.09,87.88,0.170704,89.52,97.53,91.18,0.107758,80.38,96.0,92.0,0.099401,54.82,76.55,85.11,0.100118,96.75,98.85,94.74,0.171837,80.0,92.35,90.0,0.181195,63.57,68.53,61.54,0.144303,100.0,100.0,100.0,0.163018,80.23,93.72,89.89,0.065683,80.95,91.63,88.44,0.135279
rotation_level 4,65.31,88.16,85.71,0.16324,79.35,87.26,80.6,0.132903,81.76,95.95,91.14,0.080134,58.33,84.01,85.71,0.137007,96.24,98.62,95.0,0.102764,100.0,100.0,100.0,0.176132,90.32,96.64,90.91,0.174802,84.68,95.94,90.32,0.111738,73.76,94.98,91.26,0.096193,48.75,75.04,85.11,0.116509,94.16,97.84,93.33,0.168996,87.5,95.4,90.91,0.18194,63.93,70.79,64.29,0.145291,95.0,98.43,92.68,0.157397,64.32,89.61,87.91,0.063044,78.89,91.24,88.33,0.133873
zooming_level 1,99.32,99.78,97.67,0.132989,97.62,98.59,95.38,0.12255,90.28,97.68,93.51,0.06902,100.0,100.0,100.0,0.127663,100.0,100.0,100.0,0.078221,100.0,100.0,100.0,0.175524,100.0,100.0,100.0,0.129884,98.16,99.63,98.36,0.109131,97.16,99.51,96.77,0.087891,54.29,75.08,85.11,0.090407,100.0,100.0,100.0,0.142241,100.0,100.0,100.0,0.170776,90.77,87.23,83.87,0.117063,100.0,100.0,100.0,0.137623,93.64,98.4,92.68,0.048838,94.75,97.06,96.22,0.115988
zooming_level 2,100.0,100.0,100.0,0.14542,95.25,97.32,91.8,0.126868,91.67,98.22,94.29,0.074105,100.0,100.0,100.0,0.129078,99.25,99.74,97.44,0.073481,99.67,99.82,97.87,0.171851,100.0,100.0,100.0,0.130989,98.16,99.63,98.36,0.10991,95.04,99.08,94.85,0.088146,62.14,80.75,85.11,0.0926,100.0,100.0,100.0,0.139236,100.0,100.0,100.0,0.172331,86.92,83.43,77.42,0.119531,100.0,100.0,100.0,0.144862,92.5,98.02,93.02,0.048641,94.71,97.07,95.34,0.117803
zooming_level 3,100.0,100.0,100.0,0.138582,94.74,97.09,90.62,0.124139,95.14,98.94,94.74,0.070262,100.0,100.0,100.0,0.134962,99.25,99.74,97.44,0.076336,100.0,100.0,100.0,0.174599,100.0,100.0,100.0,0.13031,98.16,99.63,98.36,0.109771,94.56,99.01,94.74,0.089751,64.82,79.23,87.64,0.098505,100.0,100.0,100.0,0.143609,100.0,100.0,100.0,0.174704,85.77,82.69,77.42,0.119009,100.0,100.0,100.0,0.138944,92.27,97.91,93.02,0.052664,94.98,96.95,95.6,0.11841
zooming_level 4,97.96,99.4,97.56,0.140496,93.89,96.87,90.32,0.126023,95.49,98.98,95.89,0.072483,99.63,99.89,98.36,0.133235,98.5,99.46,97.44,0.078295,100.0,100.0,100.0,0.172626,100.0,100.0,100.0,0.130702,98.16,99.63,98.36,0.111164,91.02,98.04,95.74,0.091991,63.39,78.55,88.89,0.102196,100.0,100.0,100.0,0.138125,100.0,100.0,100.0,0.179016,89.62,85.4,81.25,0.120204,100.0,100.0,100.0,0.143304,97.5,99.25,97.56,0.054951,95.01,97.03,96.09,0.119654
shifting_level 1,97.62,99.4,97.56,0.164298,93.68,96.67,90.0,0.126786,88.1,97.53,94.74,0.074646,92.72,97.75,93.33,0.145983,100.0,100.0,100.0,0.091719,99.67,99.82,97.87,0.170438,98.67,99.55,98.36,0.159874,96.77,99.27,96.87,0.105428,95.74,99.31,95.83,0.089921,74.16,88.79,87.36,0.111957,97.08,98.86,96.43,0.14773,100.0,100.0,100.0,0.157923,87.31,75.86,83.87,0.123265,100.0,100.0,100.0,0.146608,84.1,95.36,90.24,0.061877,93.71,96.54,94.83,0.12523
shifting_level 2,96.03,99.08,97.56,0.168432,88.25,93.08,89.23,0.128192,85.71,97.06,92.31,0.074074,88.12,96.55,90.62,0.151045,100.0,100.0,100.0,0.098727,100.0,100.0,100.0,0.176022,93.33,98.05,92.86,0.168061,98.62,99.69,98.41,0.103755,93.62,98.96,94.95,0.08792,55.42,82.37,85.71,0.107563,94.16,98.0,92.31,0.162035,95.0,98.33,94.74,0.165816,85.77,77.24,81.25,0.127044,100.0,100.0,100.0,0.147955,86.15,96.48,89.74,0.062076,90.68,95.66,93.31,0.128581
shifting_level 3,97.62,99.4,97.56,0.164071,89.47,93.53,87.88,0.128166,83.33,96.52,92.31,0.073321,80.46,92.89,89.66,0.165528,100.0,100.0,100.0,0.097609,100.0,100.0,100.0,0.170141,89.67,97.05,90.91,0.169705,97.24,99.38,96.87,0.107733,93.09,98.82,95.74,0.092128,68.64,85.18,87.64,0.113384,88.64,96.27,88.89,0.159212,95.0,98.33,94.74,0.167165,81.92,79.18,70.27,0.125354,100.0,100.0,100.0,0.159801,85.64,95.96,92.68,0.060587,90.05,95.5,92.34,0.13026
shifting_level 4,96.03,99.01,95.24,0.167711,87.37,92.62,84.85,0.129194,88.49,97.94,91.14,0.073619,86.97,95.22,93.55,0.169542,100.0,100.0,100.0,0.098527,99.33,99.65,97.78,0.173106,97.33,99.21,96.55,0.175359,96.77,99.28,96.87,0.105522,96.81,99.45,96.91,0.091333,69.43,87.66,86.05,0.115499,95.78,98.44,93.33,0.155662,80.0,91.84,90.91,0.161751,83.46,83.3,80.0,0.132932,100.0,100.0,100.0,0.16126,88.97,97.24,91.76,0.059481,91.12,96.06,93.0,0.131367
