transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
impulse_noise_level 2,85.58,86.31,79.52,0.563843,89.55,94.9,87.88,0.595124,82.01,92.17,84.21,0.331881,96.21,98.44,93.94,0.572286,94.89,97.68,90.91,0.472386,89.72,89.47,84.51,0.439031,69.51,67.6,74.07,0.808234,85.4,83.78,81.08,0.681331,75.21,77.68,71.43,0.660306,64.46,67.91,70.97,0.587168,95.41,95.45,91.43,0.741167,99.05,99.56,96.97,0.37008,85.58,87.58,83.91,0.56857
impulse_noise_level 3,85.95,86.57,80.6,0.595972,88.79,94.44,85.71,0.601306,80.3,91.54,83.33,0.322244,93.94,97.64,93.55,0.59552,99.24,99.63,98.51,0.439589,85.86,86.69,80.0,0.408408,70.34,66.1,76.54,0.773639,87.97,87.4,84.21,0.660304,77.78,81.06,74.16,0.613943,70.34,71.87,72.5,0.601402,96.05,96.2,90.14,0.719353,96.78,98.6,95.38,0.326476,86.11,88.14,84.55,0.554846
impulse_noise_level 4,83.2,81.72,80.0,0.475643,81.52,90.12,81.01,0.565992,77.08,89.99,83.54,0.253989,92.99,97.09,89.86,0.463827,96.78,98.61,94.12,0.363351,82.92,85.72,82.86,0.445035,58.49,59.67,70.59,0.741431,90.36,91.73,86.11,0.607918,81.08,82.64,75.95,0.57849,62.63,60.56,67.42,0.569651,88.43,90.1,80.0,0.636641,96.59,98.45,93.94,0.268343,82.67,85.53,82.12,0.497526
defocus_blur_level 1,93.34,94.85,88.24,0.756446,95.0,97.35,90.41,0.520791,98.44,99.31,96.97,0.47045,96.02,98.29,93.75,0.78839,98.27,99.22,95.65,0.427448,86.25,86.53,82.19,0.539813,70.42,72.36,73.56,0.702376,82.7,84.67,77.14,0.667619,76.9,81.47,72.73,0.620757,72.23,78.21,70.59,0.620147,93.51,92.19,88.89,0.774413,99.13,99.58,97.14,0.553877,88.52,90.34,85.6,0.620211
defocus_blur_level 2,93.94,95.21,87.5,0.755076,92.5,96.13,89.19,0.503427,98.27,99.24,95.65,0.416545,95.5,98.11,93.75,0.735281,97.06,98.77,95.38,0.463151,83.65,84.69,79.49,0.513293,68.25,71.61,72.09,0.719547,82.44,85.15,78.87,0.634802,78.98,82.79,74.42,0.606762,66.44,75.25,66.67,0.547018,91.09,89.66,86.49,0.755559,99.31,99.67,97.14,0.516945,87.29,89.69,84.72,0.597284
defocus_blur_level 3,92.13,93.87,89.55,0.724193,87.65,93.6,84.51,0.511434,97.58,98.94,95.38,0.487512,94.64,97.83,93.75,0.631281,96.71,98.55,93.94,0.447046,78.98,82.23,74.63,0.481902,66.61,66.23,72.94,0.706612,80.1,82.27,76.19,0.585889,80.54,84.03,74.29,0.610971,65.05,72.82,67.33,0.557029,85.29,86.53,82.19,0.756178,98.44,99.21,97.14,0.479156,85.31,88.01,83.49,0.5816
defocus_blur_level 4,90.83,92.94,87.32,0.669269,85.44,92.34,86.11,0.53896,97.58,98.92,95.65,0.419549,95.16,97.84,92.31,0.507234,94.29,97.46,90.67,0.402285,77.16,81.14,76.32,0.432372,67.04,67.03,70.83,0.627781,80.54,83.06,76.74,0.566765,76.21,78.83,73.42,0.581284,67.65,70.93,68.35,0.640855,79.58,83.84,76.47,0.768339,98.96,99.5,97.14,0.443462,84.2,86.99,82.61,0.549846
motion_blur_level 1,90.36,91.91,85.71,0.760336,93.64,96.44,91.18,0.518943,88.24,94.95,87.32,0.476319,98.04,99.24,98.46,0.64073,98.04,99.24,98.46,0.426546,85.03,87.53,80.0,0.539422,81.82,85.2,79.37,0.798277,82.46,82.12,77.65,0.643188,86.13,86.3,83.33,0.663237,65.86,74.29,66.0,0.549572,95.72,97.04,92.54,0.78273,100.0,100.0,100.0,0.591718,88.78,91.19,86.67,0.615918
motion_blur_level 2,89.53,92.16,85.25,0.771051,92.12,96.57,91.8,0.553265,89.66,95.2,88.57,0.429116,97.5,99.1,98.46,0.625098,95.37,98.27,96.87,0.483569,85.4,86.95,80.56,0.524553,79.89,84.81,77.19,0.828034,83.1,83.72,80.0,0.620809,79.06,78.09,78.38,0.635285,70.23,73.18,72.0,0.616171,97.5,97.85,93.75,0.768251,99.47,99.74,97.06,0.518319,88.24,90.47,86.66,0.61446
motion_blur_level 3,90.27,92.34,84.06,0.74896,89.85,95.03,88.89,0.535622,84.31,93.05,84.51,0.39738,98.93,99.53,98.46,0.539039,96.08,98.47,96.87,0.499406,82.64,84.11,80.6,0.535039,75.76,83.1,74.07,0.831485,82.74,83.25,79.45,0.582818,79.52,82.44,74.42,0.551728,63.28,64.63,66.0,0.542956,95.72,96.18,88.14,0.76793,99.64,99.83,98.46,0.565341,86.56,89.33,84.49,0.591475
