transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
rotation_level 1,94.06,81.93,60.16,0.203091,87.61,42.69,29.24,0.337394,87.1,54.07,38.21,0.100123,99.45,70.03,76.11,0.014538,99.13,62.62,50.18,0.122563,99.02,80.61,68.22,0.481146,99.59,86.87,63.28,0.362346,98.07,80.49,83.83,0.173971,76.94,59.25,47.47,0.027654,98.28,49.95,38.16,0.25416,96.55,69.52,79.61,0.020335,97.16,80.9,49.41,0.281445,59.65,39.51,24.04,0.008438,96.75,71.82,63.09,0.13948,95.0,28.82,40.88,0.00178,92.29,63.94,54.13,0.168564
rotation_level 2,94.88,83.65,59.95,0.193104,87.99,44.92,29.22,0.338971,86.83,53.89,39.64,0.101275,99.15,65.96,75.49,0.009672,99.3,64.04,52.63,0.121431,99.16,79.82,69.16,0.456009,99.57,86.72,62.5,0.363629,98.09,81.68,84.48,0.198182,77.95,61.31,48.78,0.029531,98.09,49.41,36.31,0.271593,96.42,70.1,79.64,0.018375,96.77,83.04,44.91,0.311457,61.32,37.62,21.81,0.012294,97.26,62.01,64.88,0.014396,94.84,28.7,41.16,0.001582,92.51,63.52,54.04,0.162767
rotation_level 3,92.98,82.0,61.21,0.227971,86.0,48.52,29.38,0.337613,86.65,54.71,34.66,0.101102,98.29,63.92,73.33,0.003542,98.95,64.23,53.14,0.296772,98.97,77.75,68.02,0.483267,99.59,87.75,63.51,0.374016,97.72,79.74,81.54,0.187865,79.25,61.1,48.94,0.037373,98.24,48.13,37.06,0.283584,96.05,68.94,79.99,0.020374,97.68,82.11,50.9,0.321401,56.97,39.17,18.07,0.050409,97.84,68.99,67.45,0.013895,94.88,28.43,42.0,0.001754,92.0,63.7,53.95,0.182729
rotation_level 4,92.25,82.58,53.95,0.23483,86.29,44.29,28.52,0.328751,86.55,58.56,36.23,0.100437,98.72,65.24,74.86,0.001899,99.08,65.18,52.61,0.185506,99.08,77.88,69.24,0.494956,99.65,89.09,65.94,0.40771,97.63,81.01,84.06,0.206424,79.22,63.21,47.33,0.028101,98.1,46.27,37.37,0.338431,95.97,69.66,80.29,0.021087,97.24,88.61,50.7,0.301763,62.16,40.54,26.81,0.030744,97.62,72.07,70.09,0.050534,94.71,27.58,43.14,0.001732,92.28,64.78,54.74,0.182194
zooming_level 1,93.25,81.16,59.19,0.264768,82.48,52.52,25.72,0.265984,86.31,57.84,44.46,0.135851,98.9,64.8,69.93,0.024802,97.47,50.73,40.86,0.013621,97.6,57.87,57.56,0.387697,99.7,78.68,61.23,0.439899,98.92,79.92,87.8,0.08369,73.63,54.31,30.32,0.000362,98.56,54.58,39.66,0.208885,93.97,69.55,73.42,0.008772,95.56,85.36,50.03,0.21833,63.0,24.78,21.0,7.2e-05,99.08,68.94,70.16,0.072372,94.79,24.15,38.49,0.00258,91.55,60.35,51.32,0.141846
zooming_level 2,91.37,80.83,58.35,0.334459,79.84,52.7,24.87,0.264377,86.92,58.51,44.26,0.149692,99.31,64.05,72.81,0.016302,97.19,55.32,47.25,0.055172,97.01,57.42,57.03,0.367389,99.69,77.14,61.25,0.455738,98.65,80.37,87.12,0.08307,72.8,50.72,30.74,0.000392,98.5,54.12,39.74,0.209068,94.02,68.7,73.88,0.011419,95.4,85.61,50.79,0.223125,59.84,22.76,19.11,4e-05,99.0,71.45,70.84,0.084493,93.84,25.51,40.35,0.002244,90.89,60.35,51.89,0.150465
zooming_level 3,89.95,81.05,54.9,0.296206,77.61,53.32,24.64,0.246318,84.69,57.2,46.35,0.150675,99.16,63.22,74.79,0.008995,97.29,54.02,47.39,0.069565,96.81,60.12,58.24,0.395552,99.65,77.98,61.79,0.445212,98.37,83.94,86.55,0.084331,72.93,54.86,30.52,0.000333,98.35,55.39,40.21,0.203329,93.83,64.32,74.57,0.01161,96.58,87.41,53.05,0.161307,59.16,21.48,20.67,8.8e-05,99.08,70.49,72.68,0.055458,94.42,24.71,42.82,0.001588,90.53,60.63,52.61,0.142038
zooming_level 4,89.62,79.57,58.04,0.349121,75.36,53.85,24.22,0.243419,88.23,58.0,45.92,0.137865,99.09,60.69,74.12,0.008547,97.69,55.99,50.3,0.087383,96.9,62.11,59.29,0.366069,99.64,77.56,61.23,0.374526,96.42,84.71,78.69,0.100147,71.07,53.75,30.5,0.000292,98.6,56.74,40.17,0.144605,94.22,65.01,75.32,0.008631,95.71,85.21,51.23,0.174705,58.69,21.31,22.09,0.000202,99.07,71.49,72.91,0.05097,94.73,24.98,46.03,0.001685,90.34,60.73,52.67,0.136544
shifting_level 1,95.44,86.35,61.02,0.226621,88.46,53.91,37.83,0.303799,94.35,51.86,35.54,0.101161,99.51,64.11,73.55,0.005725,96.18,30.17,36.48,0.002871,98.58,83.95,61.0,0.393526,99.62,88.89,62.24,0.395014,97.98,83.86,85.0,0.110819,74.32,51.02,39.47,0.002017,98.67,60.29,43.85,0.23395,91.07,62.17,63.64,0.032324,96.96,90.76,35.81,0.249975,85.72,58.45,33.69,0.006573,96.96,58.6,58.93,0.09106,95.67,37.98,43.89,0.011527,93.97,64.16,51.46,0.144464
shifting_level 2,94.75,87.98,57.91,0.353231,89.0,53.5,35.52,0.296991,93.61,51.04,37.06,0.102817,99.46,64.91,74.5,0.008897,96.14,32.81,39.05,0.007264,98.4,83.86,58.94,0.369291,99.48,87.1,53.08,0.33497,97.69,83.33,82.68,0.116248,72.91,50.22,39.36,0.002718,98.8,63.16,43.07,0.27943,91.05,61.52,63.72,0.029178,96.99,88.99,35.49,0.236457,81.71,56.47,29.52,0.004121,96.64,60.31,60.1,0.094994,95.66,40.84,45.22,0.007412,93.49,64.4,50.35,0.149601
shifting_level 3,95.46,88.92,61.22,0.25473,88.93,53.47,37.82,0.310774,93.85,48.57,36.45,0.102835,99.49,60.17,72.95,0.003162,96.54,36.3,40.67,0.0116,98.48,83.94,59.46,0.423776,99.48,86.79,56.39,0.381067,97.68,85.54,83.53,0.144735,75.76,52.57,39.89,0.001347,98.69,61.2,43.3,0.216919,90.03,62.46,65.01,0.013041,97.08,91.93,38.49,0.252936,81.98,57.19,32.75,0.00221,97.04,54.81,61.74,0.045696,96.22,41.89,45.51,0.013689,93.78,64.38,51.68,0.145234
shifting_level 4,95.1,87.45,59.68,0.359441,88.74,52.83,38.04,0.305231,93.21,52.7,37.11,0.104307,99.56,63.93,74.65,0.011744,97.15,37.84,40.12,0.006542,98.6,83.39,61.47,0.431483,99.6,87.95,61.97,0.384671,98.41,88.83,84.94,0.105464,73.94,50.69,38.87,0.00136,98.85,63.07,44.69,0.25693,90.75,63.1,64.17,0.01958,95.54,87.8,31.44,0.269035,81.1,60.23,34.27,0.005898,97.73,56.24,60.87,0.055079,96.52,42.62,46.38,0.008165,93.65,65.24,51.91,0.154995
