transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
brightness_level 4,60.72,69.63,67.11,0.24305,73.27,84.75,78.69,0.355828,85.04,92.89,83.81,0.226308,80.08,91.56,81.82,0.389507,90.32,95.5,87.5,0.242375,82.64,85.38,78.99,0.145212,66.96,69.57,69.42,0.38725,79.32,76.94,77.69,0.306658,72.76,71.58,71.53,0.330114,55.61,63.32,66.23,0.238702,87.22,86.87,83.5,0.557532,80.88,88.31,84.85,0.461512,76.24,81.36,77.6,0.323671
contrast_level 1,86.56,91.13,83.87,0.358573,84.33,90.12,84.91,0.379371,85.68,93.64,84.31,0.122301,91.04,96.41,89.8,0.323823,72.24,87.55,81.3,0.117009,84.36,88.34,78.16,0.248055,65.76,67.76,69.63,0.319472,86.52,89.52,81.32,0.268359,89.28,90.63,82.83,0.406465,65.24,68.43,67.61,0.267452,93.4,93.78,86.0,0.467883,93.6,97.24,90.53,0.273567,83.17,87.88,81.69,0.296027
contrast_level 2,82.28,88.55,80.85,0.274476,82.8,88.64,84.68,0.370337,85.44,93.84,86.6,0.120224,86.88,94.14,86.0,0.321215,72.32,87.33,80.65,0.091238,84.04,87.77,78.0,0.163838,63.8,67.87,69.01,0.256356,85.92,87.55,82.61,0.2607,88.04,89.17,81.32,0.408418,66.72,68.64,68.49,0.225039,93.36,93.46,86.32,0.469383,92.8,96.78,89.32,0.202418,82.03,86.98,81.15,0.263637
contrast_level 3,81.56,86.5,78.65,0.210264,77.27,85.01,81.74,0.358273,76.4,89.14,80.73,0.088681,84.4,93.22,84.03,0.109408,74.72,88.56,80.67,0.091663,77.76,82.29,74.51,0.145311,63.4,66.7,69.29,0.280337,78.84,84.18,76.09,0.224478,87.48,88.47,81.72,0.324687,69.44,69.99,70.0,0.227648,95.24,94.4,89.58,0.413258,89.68,95.28,86.6,0.193235,79.68,85.31,79.47,0.22227
contrast_level 4,85.68,88.79,80.0,0.113827,65.4,78.71,77.52,0.317476,80.96,90.44,84.68,0.083656,85.2,93.11,84.31,0.088299,74.64,88.8,81.3,0.077709,75.56,80.74,70.69,0.10208,54.72,56.4,69.01,0.142298,63.16,69.74,67.15,0.132199,91.64,92.35,88.24,0.218051,70.16,73.92,70.59,0.235452,94.72,95.34,91.09,0.303484,78.72,89.28,83.64,0.163175,76.71,83.14,79.02,0.164809
rotation_level 1,85.73,88.81,78.69,0.466462,71.03,84.79,78.16,0.285149,88.41,95.15,87.88,0.196787,98.1,99.06,97.06,0.377401,77.51,89.69,82.35,0.284539,91.35,90.98,85.71,0.194356,64.36,70.78,71.74,0.412994,76.04,77.26,75.32,0.205063,81.23,81.79,79.52,0.387434,63.32,67.47,67.33,0.243188,97.4,98.19,94.12,0.483309,86.68,93.76,86.15,0.368653,81.76,86.48,82.0,0.325445
rotation_level 2,85.03,88.32,78.95,0.403161,75.74,85.29,82.19,0.354011,84.95,93.95,86.67,0.252345,96.71,98.47,94.29,0.409488,80.8,89.39,87.67,0.275269,86.94,87.29,81.58,0.205686,76.04,76.85,75.0,0.448879,78.55,82.66,75.76,0.239213,80.45,80.75,79.49,0.434422,69.03,73.56,70.89,0.394895,98.44,98.77,96.97,0.467567,85.99,93.59,86.15,0.391361,83.22,87.41,82.97,0.356358
rotation_level 3,85.03,87.93,81.69,0.423549,82.21,89.85,83.54,0.332292,89.45,95.54,87.32,0.175815,95.85,98.24,94.12,0.439423,82.7,91.26,87.67,0.291564,81.57,82.75,76.32,0.248935,70.07,70.65,72.94,0.428612,75.61,78.52,72.97,0.206806,85.38,86.26,79.01,0.431062,67.13,70.76,68.82,0.331612,98.88,98.98,95.52,0.49223,81.14,91.34,84.06,0.383132,82.92,86.84,82.0,0.348753
rotation_level 4,87.28,90.44,80.52,0.433204,78.09,87.25,84.21,0.341136,84.78,93.56,84.85,0.198121,95.85,98.03,92.75,0.424555,73.53,87.01,80.95,0.180897,78.03,79.67,76.74,0.186971,81.75,80.96,78.48,0.424288,78.2,79.09,75.29,0.188162,74.31,76.27,73.91,0.353764,61.16,69.13,67.33,0.285344,96.02,97.35,93.94,0.49645,85.12,93.69,84.75,0.443489,81.18,86.04,81.14,0.329698
zooming_level 1,91.0,93.13,84.75,0.49258,81.82,90.38,83.08,0.368546,87.7,95.36,90.32,0.265306,98.93,99.49,96.87,0.39357,89.13,94.72,89.55,0.30058,81.08,84.45,75.0,0.211028,69.51,72.11,69.66,0.381363,79.71,82.37,74.42,0.250542,77.96,81.95,72.73,0.464407,52.76,56.21,66.0,0.33292,93.23,94.18,86.96,0.515584,85.03,91.93,88.0,0.255809,82.32,86.36,81.45,0.352686
zooming_level 2,94.03,95.17,88.52,0.470932,83.33,91.46,81.82,0.360937,85.56,94.1,86.15,0.270037,99.64,99.83,98.46,0.387652,90.91,95.86,90.32,0.411662,86.59,87.53,82.19,0.227654,72.08,71.96,74.7,0.410734,85.86,87.61,81.69,0.328828,83.47,84.67,80.0,0.51546,58.56,58.97,68.09,0.466505,93.58,94.02,84.85,0.529571,86.27,92.66,87.67,0.291115,84.99,87.82,83.7,0.389257
zooming_level 3,91.92,94.19,88.52,0.488903,77.73,88.96,78.05,0.284908,86.45,93.81,87.88,0.239084,98.93,99.49,96.97,0.375087,88.95,94.95,88.57,0.331492,81.91,83.46,77.92,0.222671,72.27,69.89,73.68,0.426733,88.52,91.08,84.06,0.385266,73.55,75.13,71.64,0.536399,71.84,67.99,75.95,0.528121,93.85,93.81,89.86,0.535531,94.12,97.24,91.43,0.312716,85.0,87.5,83.71,0.388909
zooming_level 4,93.57,95.19,89.86,0.467729,79.09,88.76,80.52,0.321128,86.27,93.77,87.5,0.277042,98.75,99.39,96.97,0.405252,88.95,95.04,88.24,0.367301,84.66,88.19,77.19,0.327837,71.17,70.51,75.29,0.397314,86.59,89.27,79.01,0.314514,75.48,76.67,74.42,0.507952,72.28,75.22,70.42,0.532759,91.71,91.87,84.06,0.54312,86.45,93.09,87.67,0.320835,84.58,88.08,82.6,0.398565
shifting_level 1,90.27,93.03,85.25,0.464608,88.48,93.05,86.96,0.362749,82.77,92.49,83.58,0.23892,95.83,98.34,95.24,0.398453,85.61,92.97,88.24,0.276401,88.52,90.71,81.69,0.190131,77.41,76.55,81.01,0.423567,78.79,82.93,74.67,0.244598,87.42,90.94,83.08,0.486888,66.67,69.88,68.49,0.47745,92.01,91.09,89.55,0.510331,81.82,90.5,86.49,0.325404,84.63,88.54,83.69,0.366625
shifting_level 2,92.65,94.44,88.89,0.468533,86.67,92.48,88.57,0.339901,80.87,92.0,82.05,0.177062,96.97,98.81,95.38,0.378179,84.09,93.43,83.58,0.283487,84.57,88.55,77.78,0.304535,77.5,79.21,75.32,0.425303,84.57,85.01,83.33,0.253212,90.45,92.53,87.5,0.499478,66.94,68.61,69.23,0.458681,91.46,89.5,88.89,0.463979,89.02,95.23,88.89,0.379106,85.48,89.15,84.12,0.369288
shifting_level 3,88.8,91.36,82.86,0.403977,86.52,91.74,86.84,0.302404,82.58,92.46,83.78,0.177163,99.24,99.66,96.97,0.341699,85.23,92.79,86.57,0.278572,86.32,89.44,80.65,0.223416,77.96,76.81,80.0,0.423725,84.48,86.61,78.12,0.282386,86.5,88.61,83.08,0.491669,68.41,69.84,68.89,0.368617,92.65,92.35,86.84,0.4549,82.2,91.62,87.67,0.343789,85.07,88.61,83.52,0.341026
shifting_level 4,86.41,89.83,83.08,0.459777,88.79,93.24,89.23,0.362934,85.42,93.79,84.93,0.206727,98.48,99.31,95.52,0.305342,87.88,94.84,87.5,0.301592,88.06,90.91,80.65,0.239792,76.4,78.77,75.29,0.412172,79.25,82.12,75.0,0.252951,91.0,92.71,85.25,0.480996,71.35,73.99,72.13,0.513654,92.93,88.96,89.55,0.462801,88.83,94.8,87.32,0.339437,86.23,89.44,83.79,0.361515
