transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
brightness_level 3,80.56,82.4,76.64,0.069448,77.13,86.74,79.31,0.098581,64.0,81.47,80.0,0.091429,70.72,83.83,82.35,0.183554,83.76,92.02,85.19,0.038619,78.2,81.62,72.57,0.0238,79.68,81.61,78.26,0.17948,88.08,89.25,82.57,0.122997,63.68,69.88,67.13,0.023804,82.16,84.08,76.8,0.079647,85.06,80.09,82.0,0.110697,83.92,90.29,88.29,0.197432,78.08,83.61,79.26,0.101624
brightness_level 4,72.8,77.43,69.42,0.071586,63.53,76.12,80.67,0.106883,53.04,73.26,80.0,0.095722,64.8,78.13,81.03,0.194,81.68,90.79,85.45,0.04006,77.56,81.32,73.17,0.027104,76.8,79.52,72.73,0.1808,86.4,86.99,80.0,0.126021,62.2,68.82,67.18,0.027171,80.04,80.24,76.67,0.082677,77.41,73.31,75.93,0.115501,74.4,84.5,85.22,0.202934,72.55,79.2,77.29,0.105872
contrast_level 1,82.2,87.08,75.86,0.077704,78.47,88.95,79.28,0.103623,92.8,96.6,90.72,0.082686,98.32,99.28,97.03,0.167296,83.92,92.74,83.93,0.037127,72.48,73.78,74.19,0.016692,71.64,77.21,68.57,0.172671,90.56,91.05,86.73,0.121621,71.6,75.14,69.39,0.02664,73.56,72.4,73.04,0.096569,90.64,90.8,83.33,0.097936,98.88,99.52,98.0,0.17936,83.76,87.05,81.67,0.098327
contrast_level 2,78.56,84.11,73.79,0.081688,78.33,89.21,78.65,0.10888,92.56,96.49,88.89,0.085031,97.68,99.05,96.0,0.170338,77.12,89.19,81.48,0.039856,63.96,68.13,68.53,0.01656,69.04,74.13,69.63,0.176365,90.2,90.8,85.96,0.122297,81.0,83.85,76.29,0.0305,74.88,75.25,72.38,0.10636,88.52,88.97,81.67,0.101076,98.16,99.17,97.03,0.1794,82.5,86.53,80.86,0.101529
contrast_level 3,76.08,80.11,73.21,0.088034,76.8,88.24,78.74,0.108467,86.08,92.82,87.38,0.090261,98.32,99.2,96.0,0.178987,61.6,81.41,80.0,0.041965,60.76,63.99,68.15,0.01808,65.16,68.79,71.64,0.17991,89.96,90.63,84.96,0.126104,88.68,90.86,82.35,0.035128,74.48,74.26,72.07,0.115236,84.2,85.12,78.33,0.106712,97.84,99.1,95.92,0.182262,80.0,84.54,80.73,0.105929
contrast_level 4,73.48,75.62,71.21,0.092441,72.53,84.53,79.34,0.123643,61.28,78.0,80.0,0.09956,88.96,95.37,87.91,0.187723,42.56,67.82,80.0,0.052982,55.32,56.46,67.21,0.022971,60.06,63.29,68.03,0.18558,89.68,89.68,85.71,0.132834,93.56,94.93,88.24,0.041934,76.12,77.4,72.88,0.127018,76.48,77.68,75.23,0.11913,95.44,97.94,93.2,0.178865,73.79,79.89,79.08,0.113723
rotation_level 1,74.13,80.16,72.0,0.072829,57.21,73.36,77.27,0.097474,85.99,93.4,88.57,0.086318,84.95,93.35,84.85,0.186736,84.43,92.37,86.49,0.040121,85.29,86.22,78.87,0.020238,53.72,50.78,71.11,0.197969,85.73,85.48,84.21,0.126515,64.27,65.95,71.58,0.023351,67.73,70.15,68.82,0.081221,85.81,87.21,81.48,0.099261,100.0,100.0,100.0,0.181493,77.44,81.54,80.44,0.101127
rotation_level 2,79.33,84.02,73.02,0.074615,51.76,70.81,77.27,0.100479,85.29,92.76,86.57,0.088517,92.39,96.48,89.86,0.190124,78.2,88.22,85.71,0.041202,76.82,73.89,79.07,0.019727,46.71,56.22,67.33,0.186522,87.11,86.76,84.93,0.132079,67.99,68.57,72.73,0.025093,40.14,46.6,66.67,0.076882,85.38,85.97,79.41,0.101592,89.62,95.46,88.57,0.184418,73.4,78.81,79.26,0.101771
rotation_level 3,74.48,75.81,72.22,0.07425,57.21,74.56,77.27,0.099795,74.22,82.63,85.71,0.089624,84.26,92.62,85.71,0.19399,80.45,90.11,84.62,0.039959,75.52,72.19,77.11,0.020495,52.94,51.9,68.0,0.203827,92.82,91.26,89.47,0.131974,56.66,61.53,67.33,0.023425,44.46,51.49,66.67,0.080304,84.34,87.33,79.37,0.102453,96.54,98.46,93.94,0.188528,72.82,77.49,78.95,0.104052
rotation_level 4,74.83,79.49,71.23,0.074615,44.85,65.25,78.16,0.102248,79.58,88.0,86.96,0.08942,88.58,94.43,89.19,0.191153,78.2,88.75,82.35,0.041826,63.84,60.11,72.73,0.02031,53.72,52.96,66.67,0.17984,82.27,81.49,82.67,0.131302,63.32,67.13,68.42,0.026748,55.88,64.48,66.67,0.0795,83.13,83.74,78.87,0.101306,96.89,98.52,94.12,0.189706,72.09,77.03,78.17,0.102331
zooming_level 1,90.36,93.8,88.89,0.069983,79.85,89.51,81.58,0.097398,90.73,95.1,90.14,0.077246,96.08,98.38,95.24,0.165337,88.24,94.59,88.24,0.037946,77.69,77.0,81.48,0.018939,79.06,83.66,74.29,0.180356,93.39,93.66,86.96,0.125071,69.97,72.91,70.45,0.021577,86.63,88.92,81.36,0.080147,93.4,90.76,89.19,0.096047,99.82,99.91,98.51,0.17177,87.1,89.85,85.53,0.095151
zooming_level 2,93.57,95.42,90.62,0.070658,77.88,87.14,83.78,0.098145,92.34,95.58,91.67,0.07804,95.9,98.42,96.87,0.170497,88.06,94.35,85.71,0.037067,71.07,72.27,72.94,0.018707,82.28,85.62,75.0,0.179463,94.4,95.12,86.96,0.126513,69.24,74.71,68.82,0.021149,84.85,88.16,77.61,0.07916,92.07,89.92,86.57,0.099353,99.64,99.82,98.51,0.171269,86.78,89.71,84.59,0.095835
zooming_level 3,91.74,93.18,85.71,0.072607,74.39,85.16,82.67,0.099132,94.3,96.87,92.31,0.080612,98.22,99.19,96.97,0.164447,88.06,94.72,87.1,0.039904,85.12,87.78,78.69,0.021266,84.21,86.63,77.92,0.180891,89.72,86.98,84.62,0.120341,61.52,63.45,72.53,0.022566,83.87,86.53,81.16,0.080032,89.48,88.24,84.06,0.100715,99.82,99.91,98.51,0.173205,86.7,89.05,85.19,0.09631
zooming_level 4,93.48,94.1,86.15,0.076027,73.94,83.92,83.78,0.100149,94.47,97.28,92.54,0.080314,98.04,99.24,98.46,0.172863,90.2,95.83,90.62,0.040353,82.74,83.95,80.6,0.021161,84.3,86.42,77.92,0.183784,88.25,88.02,84.62,0.126868,59.87,58.63,70.97,0.022485,74.51,78.08,73.97,0.080606,85.65,84.85,81.97,0.104627,100.0,100.0,100.0,0.184503,85.45,87.53,85.13,0.099478
shifting_level 1,88.52,89.29,84.21,0.069457,63.48,77.08,80.0,0.101625,87.69,94.73,85.71,0.083655,93.37,97.06,91.18,0.176928,82.39,92.36,83.33,0.037304,80.53,77.26,79.45,0.019215,78.24,81.96,76.06,0.185043,89.26,88.14,83.33,0.126819,74.66,79.09,74.29,0.023113,70.34,69.64,73.68,0.081179,95.5,94.16,92.54,0.097605,98.48,99.34,96.87,0.176168,83.54,86.68,83.39,0.098176
shifting_level 2,83.38,88.08,77.19,0.072347,66.82,79.99,77.65,0.102911,88.83,94.86,91.18,0.084959,85.23,93.22,88.0,0.180698,87.31,94.44,89.23,0.038053,79.8,75.68,81.01,0.018099,64.55,67.23,71.26,0.184369,84.39,84.9,83.12,0.125964,78.79,78.25,76.71,0.023473,66.57,69.92,70.45,0.081778,94.12,93.85,88.24,0.098233,96.02,98.54,95.52,0.173071,81.32,84.91,82.46,0.098663
shifting_level 3,77.41,79.89,75.76,0.072738,68.64,81.49,78.48,0.106717,86.17,94.17,86.11,0.085544,82.58,92.47,84.85,0.192815,85.98,93.96,86.15,0.039766,78.15,78.8,77.92,0.017858,64.37,66.94,69.14,0.192402,86.87,87.97,82.19,0.128999,75.3,79.19,74.7,0.022961,71.53,74.6,73.81,0.083286,91.46,91.84,85.33,0.096818,99.05,99.54,97.06,0.176687,80.63,85.07,80.96,0.101383
shifting_level 4,86.59,88.63,80.0,0.072522,60.61,77.02,76.74,0.101546,82.58,92.55,83.33,0.087093,71.21,85.38,81.16,0.193301,79.36,91.7,81.48,0.037209,80.53,76.23,78.95,0.018243,54.82,59.69,67.35,0.183452,92.38,90.97,86.49,0.129136,74.1,73.79,73.02,0.023377,63.09,63.82,72.29,0.08417,90.45,88.71,87.32,0.097319,89.96,95.18,91.43,0.176979,77.14,81.97,79.96,0.100362
