transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
rotation_level 3,94.56,98.22,95.45,0.94078,70.81,80.72,78.48,0.523493,97.3,99.42,96.1,0.683358,100.0,100.0,100.0,1.023988,100.0,100.0,100.0,0.399636,91.37,96.05,91.3,1.08127,99.12,99.69,98.41,0.79277,98.39,99.59,96.87,0.440533,87.0,97.5,93.07,0.757564,92.5,97.63,93.51,0.722498,100.0,100.0,100.0,0.533287,100.0,100.0,100.0,0.827839,75.36,74.28,68.42,0.730986,100.0,100.0,100.0,0.58011,98.41,99.59,96.3,0.087782,93.65,96.18,93.86,0.67506
rotation_level 4,88.44,96.55,88.89,0.935266,69.68,79.39,78.87,0.589858,96.28,99.2,96.1,0.60447,100.0,100.0,100.0,1.01593,100.0,100.0,100.0,0.55317,90.18,95.35,88.0,0.989148,99.12,99.69,98.41,0.78721,98.39,99.6,96.87,0.409264,87.94,97.67,93.07,0.804259,85.71,92.72,90.48,0.567586,100.0,100.0,100.0,0.499479,100.0,100.0,100.0,0.893981,75.0,73.26,66.67,0.696252,100.0,100.0,100.0,0.617297,99.09,99.76,97.56,0.089749,92.66,95.55,92.99,0.670195
zooming_level 1,93.88,98.32,95.0,1.009515,73.68,81.66,81.08,0.563587,85.76,96.41,92.96,1.012104,100.0,100.0,100.0,0.876229,100.0,100.0,100.0,1.564075,95.65,97.65,92.0,0.876586,100.0,100.0,100.0,0.778035,92.63,98.48,93.33,0.628667,82.03,96.62,91.26,0.441653,91.25,97.05,91.57,0.566887,98.38,99.38,96.55,0.118186,95.0,98.33,94.74,1.117446,60.38,60.23,57.78,0.523087,100.0,100.0,100.0,0.280528,86.59,96.05,92.31,0.167258,90.35,94.68,91.91,0.70159
zooming_level 2,90.48,97.57,95.0,1.006039,70.97,82.09,80.0,0.526277,87.5,96.93,92.96,1.072495,100.0,100.0,100.0,0.872147,100.0,100.0,100.0,1.576196,96.99,98.36,93.88,1.01031,100.0,100.0,100.0,0.796356,88.48,97.59,91.53,0.624667,86.05,97.44,91.26,0.670762,91.96,96.65,95.24,0.57665,99.03,99.63,96.55,0.08803,95.0,98.33,94.74,1.055596,54.23,60.63,57.78,0.548183,100.0,100.0,100.0,0.222856,88.18,96.31,93.67,0.177107,89.92,94.77,92.17,0.721578
zooming_level 3,95.24,98.72,95.24,0.966342,71.99,79.84,82.67,0.521693,86.46,96.68,91.89,0.848494,100.0,100.0,100.0,0.948877,100.0,100.0,100.0,1.640606,96.99,98.3,95.83,1.043584,100.0,100.0,100.0,0.628702,83.41,96.23,91.18,0.440555,85.11,97.23,92.0,0.739681,92.14,97.03,93.83,0.727387,97.73,99.16,94.92,0.078347,100.0,100.0,100.0,0.851603,58.85,59.85,57.78,0.535739,100.0,100.0,100.0,0.329886,88.86,96.8,90.91,0.202321,90.45,94.66,92.42,0.700254
zooming_level 4,93.88,98.38,95.0,1.009606,75.55,85.38,82.19,0.572042,87.5,96.62,93.33,0.640231,100.0,100.0,100.0,0.911471,100.0,100.0,100.0,1.319106,97.32,98.55,93.88,1.008383,100.0,100.0,100.0,0.682867,84.33,96.67,91.18,0.412622,90.31,98.15,93.88,0.77274,90.89,96.37,93.83,0.70461,98.05,99.26,96.55,0.117864,100.0,100.0,100.0,0.908728,58.85,61.06,60.47,0.642362,100.0,100.0,100.0,0.32258,87.05,96.42,90.91,0.22673,90.92,95.12,92.75,0.683463
shifting_level 1,84.92,96.26,87.8,0.966465,82.46,88.17,82.86,0.579499,100.0,100.0,100.0,0.711374,100.0,100.0,100.0,0.663846,100.0,100.0,100.0,0.574243,100.0,100.0,100.0,1.198249,99.33,99.78,98.36,0.859104,94.93,98.9,95.24,0.50467,92.02,98.63,94.85,0.871696,91.12,97.29,90.7,0.436383,93.51,97.88,94.34,0.451662,97.5,99.09,95.24,0.665415,81.92,81.83,76.92,0.995233,98.33,99.55,97.44,0.482365,100.0,100.0,100.0,0.109872,94.4,97.16,94.25,0.671338
shifting_level 2,86.51,96.46,89.36,0.859113,84.04,89.25,83.08,0.648513,99.6,99.92,98.63,0.637018,100.0,100.0,100.0,0.632345,100.0,100.0,100.0,0.784087,100.0,100.0,100.0,1.180348,99.33,99.78,98.36,0.90907,91.71,98.28,92.31,0.460137,89.1,98.17,93.07,0.756324,92.11,97.39,93.51,0.623366,96.43,98.77,94.55,0.210618,97.5,99.09,95.24,0.814018,81.15,82.48,80.0,1.038356,96.67,99.03,95.24,0.310281,98.72,99.68,97.44,0.115768,94.19,97.22,94.05,0.665291
shifting_level 3,85.71,96.37,90.0,1.00341,81.58,87.6,82.86,0.581769,100.0,100.0,100.0,0.736974,100.0,100.0,100.0,0.65709,100.0,100.0,100.0,0.802465,99.67,99.82,97.87,1.156078,99.33,99.78,98.36,0.921326,92.17,98.37,93.55,0.573689,88.83,98.15,92.47,0.949064,90.53,96.9,91.14,0.533419,96.1,98.68,94.55,0.162048,97.5,99.09,95.24,0.808779,81.92,81.24,80.0,1.078096,96.67,99.03,95.24,0.306866,99.23,99.81,97.5,0.090747,93.95,96.99,93.92,0.690788
shifting_level 4,84.13,95.75,90.0,1.003404,80.35,86.71,81.82,0.642541,100.0,100.0,100.0,0.783202,100.0,100.0,100.0,0.710052,100.0,100.0,100.0,0.802258,100.0,100.0,100.0,1.2265,99.67,99.89,98.36,0.770901,93.55,98.64,93.33,0.575624,90.69,98.39,93.88,0.807233,86.0,95.33,91.76,0.477425,98.38,99.39,96.43,0.196101,97.5,99.09,95.24,0.725819,84.62,86.48,83.33,1.01235,99.17,99.76,97.56,0.352397,100.0,100.0,100.0,0.156894,94.27,97.3,94.78,0.682847
