transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
zoom_blur_level 4,87.82,80.16,6.05,0.675838,75.74,54.59,8.04,0.659371,88.22,84.67,11.97,0.60881,98.06,73.19,52.0,0.956934,89.27,67.45,23.14,0.275333,88.11,51.53,9.62,0.640214,90.35,57.27,0.63,0.52549,82.49,70.65,4.73,0.430047,89.11,68.35,6.46,0.460913,86.92,56.15,4.52,0.666132,89.51,68.05,8.49,0.336472,95.46,91.78,45.89,0.310226,88.42,68.65,15.13,0.545482
brightness_level 1,97.46,91.34,35.01,0.468274,97.97,97.12,51.95,0.295263,94.4,87.33,22.28,0.067668,99.2,78.66,60.4,0.764718,95.37,89.94,38.02,0.077129,98.76,87.06,35.39,0.556094,97.82,87.27,12.0,0.617679,92.7,83.49,21.56,0.303455,94.78,85.83,32.73,0.506269,88.94,79.94,17.16,0.556926,96.03,88.56,32.77,0.309402,91.26,93.55,16.78,0.005654,95.39,87.51,31.34,0.377378
brightness_level 2,96.93,91.04,31.8,0.371092,98.0,96.77,50.46,0.337003,94.2,88.21,22.63,0.0972,98.69,76.3,58.74,0.527006,95.26,89.88,37.58,0.074525,98.17,80.44,35.2,0.546577,96.8,80.85,8.77,0.559869,92.57,78.85,20.15,0.329175,94.97,86.78,31.69,0.479386,88.94,80.02,18.53,0.563551,95.95,87.0,34.55,0.374242,90.65,94.5,15.85,0.007451,95.09,85.89,30.5,0.35559
brightness_level 3,96.79,90.61,30.61,0.309942,97.97,96.49,47.05,0.352789,94.1,89.38,23.08,0.112693,98.68,79.99,59.97,0.480316,95.22,89.55,37.61,0.06972,97.92,79.57,35.07,0.466805,95.74,79.33,4.72,0.557368,92.65,76.61,19.08,0.338362,94.99,86.53,29.78,0.480603,89.07,79.26,17.53,0.599365,96.03,87.95,39.11,0.446347,88.49,96.05,13.57,0.01177,94.8,85.94,29.76,0.352173
brightness_level 4,96.55,90.24,29.57,0.309586,97.59,95.01,41.85,0.396149,94.14,90.51,24.29,0.115995,98.75,83.32,61.35,0.467621,95.17,89.16,37.87,0.064624,97.71,79.3,32.84,0.443957,95.1,78.46,2.86,0.543643,92.27,74.82,18.82,0.357271,94.72,85.58,26.59,0.505469,89.0,78.22,15.15,0.630066,96.05,88.42,40.49,0.470533,83.62,93.05,9.65,0.023797,94.22,85.51,28.44,0.360726
contrast_level 1,99.14,93.52,43.61,0.493052,96.64,89.02,47.64,0.16709,93.95,84.03,19.08,0.205494,99.25,88.57,57.82,0.731123,93.95,84.23,28.47,0.063839,98.7,92.18,38.48,0.478515,97.71,85.64,18.55,0.544428,92.2,91.64,22.05,0.297842,96.92,85.65,36.9,0.526659,95.14,64.2,15.96,0.523756,93.77,81.53,33.04,0.331016,93.62,93.25,19.1,0.146655,95.92,86.12,31.72,0.375789
contrast_level 2,98.45,94.22,42.43,0.492305,96.55,88.02,47.6,0.142232,94.03,83.33,19.9,0.174858,99.23,88.8,57.61,0.646208,93.52,83.25,27.15,0.067832,98.5,91.91,37.95,0.469963,97.38,84.62,15.59,0.540164,92.04,91.51,24.02,0.273822,96.77,85.48,36.46,0.532184,95.09,63.6,16.67,0.526738,93.48,81.41,33.8,0.349531,92.98,94.17,20.4,0.193356,95.67,85.86,31.63,0.367433
contrast_level 3,97.38,94.07,40.33,0.454282,96.3,84.72,46.91,0.123424,94.41,82.78,23.98,0.161726,98.96,86.64,57.29,0.601283,92.85,81.82,23.71,0.078765,97.85,87.53,31.03,0.407466,96.56,81.49,7.89,0.555148,91.5,89.89,23.01,0.265881,96.57,85.89,35.92,0.543166,94.77,61.57,16.28,0.514342,93.02,81.02,31.74,0.405403,91.73,91.94,22.63,0.210041,95.16,84.11,30.06,0.360077
contrast_level 4,92.69,86.71,31.97,0.332218,94.21,77.41,43.41,0.086416,92.92,77.21,23.57,0.224936,96.85,69.35,54.25,0.333648,91.34,77.41,19.16,0.033181,93.56,74.0,19.1,0.465578,93.22,63.32,1.65,0.565433,88.67,85.69,16.51,0.271612,95.84,81.95,32.58,0.456283,93.99,55.39,15.31,0.585701,91.69,78.69,24.71,0.508178,88.94,87.69,15.21,0.34399,92.83,76.24,24.79,0.350598
rotation_level 1,99.03,90.42,46.61,0.386808,96.36,88.06,46.7,0.260698,94.29,85.08,20.62,0.047845,99.16,81.86,59.02,0.650709,95.01,87.28,34.36,0.067538,99.41,91.6,42.0,0.556606,98.14,90.65,16.77,0.599556,92.76,85.1,22.63,0.262148,96.79,88.32,33.13,0.469411,96.69,77.63,16.4,0.579833,97.07,88.95,36.38,0.298921,93.99,94.69,17.15,0.044013,96.56,87.47,32.65,0.352007
rotation_level 2,98.81,88.76,43.73,0.386011,97.0,90.02,45.9,0.261984,94.63,84.81,21.79,0.048869,99.17,81.47,59.18,0.68807,94.9,86.58,33.04,0.064241,99.39,91.17,40.71,0.464466,98.05,88.79,20.51,0.598374,92.93,84.67,22.65,0.259128,96.74,87.37,33.3,0.481824,96.55,75.76,14.54,0.558599,96.83,88.04,36.79,0.291851,93.79,95.56,16.81,0.04477,96.57,86.92,32.41,0.345682
rotation_level 3,98.82,88.94,47.29,0.375102,96.53,89.25,46.12,0.251275,93.8,85.06,19.13,0.048118,99.17,83.75,58.33,0.653907,95.11,87.6,34.56,0.061309,99.39,90.19,41.92,0.476727,98.02,90.38,20.08,0.617631,92.34,83.63,22.29,0.244367,96.62,86.31,32.65,0.448852,96.62,71.15,14.13,0.551029,96.89,88.85,36.49,0.320718,93.9,95.41,17.66,0.048992,96.43,86.71,32.55,0.341502
rotation_level 4,99.09,89.69,47.44,0.385279,96.5,89.25,45.73,0.259277,93.16,85.69,16.79,0.045331,99.25,84.25,58.35,0.727673,94.93,85.83,34.3,0.060967,99.32,89.96,39.02,0.517344,97.99,88.86,13.47,0.556404,92.72,84.45,22.56,0.251044,96.83,88.22,31.92,0.451771,96.67,69.66,15.64,0.56385,96.7,89.18,34.74,0.306651,93.71,95.78,16.65,0.012203,96.41,86.74,31.38,0.344816
zooming_level 1,99.33,94.31,39.74,0.455737,96.55,94.54,50.27,0.252306,94.05,87.54,25.42,0.078791,99.39,88.73,59.38,0.849312,95.37,85.85,34.25,0.086006,98.27,91.61,28.75,0.536042,97.59,86.57,19.71,0.57387,92.59,88.92,19.52,0.270471,98.17,85.41,37.5,0.51334,85.03,60.48,15.46,0.559037,93.83,83.04,27.82,0.332469,91.96,89.7,25.49,0.004458,95.18,86.39,31.94,0.375987
zooming_level 2,99.31,94.57,40.29,0.472238,96.13,95.4,51.83,0.250378,93.36,87.33,25.91,0.076442,99.31,86.78,59.08,0.792719,94.9,86.05,34.13,0.080106,98.33,90.92,27.3,0.487778,97.85,87.1,21.88,0.572754,92.03,89.66,20.45,0.272509,97.93,84.8,36.9,0.461495,83.52,56.48,16.47,0.548435,92.77,81.58,27.5,0.358841,91.38,91.82,25.72,0.004772,94.74,86.04,32.29,0.364872
zooming_level 3,99.05,93.15,38.88,0.446434,95.62,94.43,51.04,0.246212,92.83,88.5,25.8,0.069508,99.28,87.97,60.33,0.659296,94.55,86.7,34.66,0.07762,98.18,91.21,28.93,0.488069,97.57,85.58,23.11,0.556781,91.39,88.18,21.09,0.293625,97.73,85.57,38.05,0.518454,82.99,55.46,14.77,0.549437,92.48,81.75,26.47,0.34847,90.57,92.17,25.44,0.003999,94.35,85.89,32.38,0.354825
zooming_level 4,99.05,93.89,40.95,0.449593,94.85,92.12,50.11,0.243044,92.21,88.53,25.7,0.044414,99.24,87.21,61.38,0.69286,93.98,86.03,34.05,0.07121,98.07,89.76,28.95,0.501749,97.87,88.71,23.08,0.568648,90.11,89.13,20.06,0.27257,97.79,85.09,37.46,0.494769,81.45,54.34,17.88,0.53901,90.96,80.96,25.07,0.350943,89.87,91.37,25.55,0.003694,93.79,85.6,32.52,0.352709
shifting_level 1,99.32,93.07,43.92,0.411815,98.51,97.11,49.51,0.267761,93.85,87.8,11.49,0.232162,99.43,86.42,65.03,0.693481,95.29,91.41,38.09,0.087104,99.1,93.85,33.7,0.569232,98.15,85.98,23.9,0.609645,89.61,88.9,20.12,0.317539,91.88,85.3,34.65,0.516561,92.96,81.13,11.4,0.305445,94.48,84.95,29.57,0.303736,99.67,95.17,35.94,0.619082,96.02,89.26,33.11,0.41113
shifting_level 2,99.4,92.46,44.52,0.392096,98.34,96.71,49.46,0.266738,93.92,87.79,11.93,0.207202,99.48,87.54,65.57,0.679509,95.42,92.02,38.03,0.082927,99.08,94.47,34.27,0.614085,98.33,88.21,23.9,0.617488,89.61,88.64,19.98,0.297971,91.37,86.01,34.57,0.511339,92.72,81.86,11.02,0.327125,94.35,87.19,29.6,0.298435,99.66,94.46,36.0,0.628729,95.97,89.78,33.24,0.410304
shifting_level 3,99.2,91.08,43.87,0.401856,98.46,97.54,49.77,0.276173,94.12,87.73,12.75,0.191465,99.5,87.38,66.45,0.746745,95.44,92.69,38.95,0.085359,99.03,94.04,32.3,0.560416,98.19,83.76,15.9,0.634102,89.32,88.32,19.23,0.28204,91.7,85.43,34.6,0.495855,92.98,81.55,12.64,0.329553,94.52,86.69,29.27,0.284796,99.66,94.19,36.64,0.540226,96.01,89.2,32.7,0.402382
shifting_level 4,99.29,92.57,43.08,0.430489,98.4,97.48,49.41,0.270027,93.93,88.25,11.9,0.13763,99.47,87.16,66.13,0.719087,95.35,92.45,39.14,0.085551,99.04,94.24,32.56,0.662735,98.11,86.61,21.17,0.624598,89.46,88.9,19.94,0.299279,91.99,84.38,34.43,0.498561,92.85,81.74,11.48,0.42596,94.56,86.74,29.35,0.28309,99.67,95.16,36.85,0.574695,96.01,89.64,32.95,0.417642
