transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
rotation_level 2,94.08,89.96,55.66,0.255604,73.6,53.63,15.21,0.11134,94.84,82.58,35.78,0.113805,99.15,97.5,73.75,0.345003,99.3,94.32,49.83,0.664547,96.62,86.25,53.47,0.610166,99.23,93.97,46.32,0.400156,80.74,85.34,36.94,0.006245,89.63,93.29,34.66,0.455268,96.33,83.26,44.35,0.306659,94.26,89.87,76.7,0.048655,98.34,91.15,49.37,0.143494,69.24,40.48,17.58,0.067656,92.27,90.76,56.03,0.123143,96.19,84.49,57.54,0.058016,91.59,83.79,46.88,0.247317
rotation_level 3,93.84,89.78,54.85,0.216599,73.39,52.82,15.07,0.102846,94.63,80.29,35.17,0.089798,98.96,97.47,73.27,0.356735,99.44,96.89,51.09,0.695261,96.65,85.79,53.05,0.586772,99.19,93.63,45.82,0.323537,81.17,85.65,37.66,0.00528,89.55,93.13,34.54,0.466401,96.22,81.49,44.34,0.297489,93.95,90.22,76.62,0.042944,98.19,90.77,46.6,0.171556,69.74,38.56,17.3,0.068297,92.65,93.22,57.22,0.124355,95.81,84.11,56.01,0.052327,91.56,83.59,46.57,0.240013
rotation_level 4,93.64,84.12,54.3,0.244545,73.96,53.98,16.14,0.080754,94.68,80.34,34.38,0.101645,98.86,97.11,71.56,0.342963,99.33,95.6,51.6,0.653545,96.74,85.13,52.55,0.579122,99.25,93.72,46.99,0.367766,81.08,85.08,37.39,0.005391,89.83,92.9,34.11,0.43184,96.03,79.0,42.73,0.279516,93.65,89.92,76.28,0.041869,98.35,93.65,48.51,0.180803,66.59,38.42,16.57,0.060465,94.37,92.86,58.68,0.095671,95.77,83.41,53.37,0.053974,91.48,83.02,46.34,0.234658
zooming_level 1,93.53,86.91,56.94,0.251832,67.46,55.03,17.32,0.105688,94.44,93.68,46.68,0.415308,97.46,93.5,64.87,0.256535,99.15,96.62,50.1,0.626157,95.35,66.0,42.7,0.467101,99.12,93.76,40.06,0.877021,76.25,75.96,40.87,0.002904,85.32,88.52,28.39,0.013538,99.13,90.55,50.65,0.270686,92.76,83.22,72.02,0.0153,96.28,91.83,53.85,0.266644,61.88,29.52,18.02,0.001855,92.6,83.71,51.06,0.127504,96.87,90.1,58.36,0.083897,89.84,81.26,46.13,0.252131
zooming_level 2,92.87,86.65,56.73,0.227242,64.66,54.56,17.44,0.095317,93.92,93.3,46.1,0.426882,96.83,92.59,64.95,0.238484,99.15,96.69,50.31,0.615984,94.75,66.21,41.97,0.495295,99.12,93.5,41.08,0.872599,73.11,75.22,40.2,0.002907,84.36,88.73,29.16,0.013164,99.29,93.76,50.77,0.266233,92.57,79.64,73.09,0.011981,95.53,92.6,52.75,0.288511,61.51,29.53,19.37,0.002008,91.49,82.36,51.99,0.142689,96.22,88.22,58.31,0.093246,89.03,80.9,46.28,0.252836
zooming_level 3,92.0,81.43,56.61,0.238111,61.76,50.17,17.25,0.089534,93.6,93.53,47.62,0.442837,96.17,90.51,66.69,0.23666,99.18,94.96,51.76,0.597303,94.58,67.42,43.5,0.456486,99.05,93.18,41.44,0.857896,70.29,74.71,40.03,0.002445,83.66,85.47,30.51,0.015217,99.24,93.69,51.62,0.297815,92.61,74.92,73.26,0.01114,95.18,91.4,53.52,0.264435,60.65,25.09,19.57,0.001657,91.11,77.81,51.63,0.12592,95.59,86.52,58.86,0.108877,88.31,78.72,46.92,0.249756
zooming_level 4,91.41,80.31,56.25,0.20999,58.94,48.81,16.95,0.082454,93.49,93.72,48.6,0.450539,94.89,89.02,67.95,0.219072,99.08,96.66,50.89,0.580295,94.2,57.21,43.55,0.458536,99.0,92.68,41.45,0.7079,68.77,75.0,40.4,0.002005,82.92,85.26,31.2,0.014668,99.27,93.36,53.25,0.321428,93.11,78.36,73.45,0.011187,95.14,92.07,54.98,0.314975,61.09,25.0,20.76,0.001586,90.49,78.85,51.31,0.120805,95.43,85.74,58.14,0.12008,87.82,78.14,47.28,0.241035
shifting_level 1,90.75,85.41,55.65,0.203109,84.35,72.36,24.84,0.131698,95.62,90.78,29.96,0.273783,96.34,93.87,63.27,0.295582,98.81,91.64,40.92,0.204389,96.13,80.52,44.13,0.545593,98.96,95.23,41.53,0.473751,80.57,83.02,37.19,0.007782,87.85,94.84,30.72,0.314664,98.25,87.9,45.95,0.432035,89.77,81.1,59.27,0.020037,98.26,97.68,37.4,0.261455,65.91,61.68,15.44,0.005601,85.84,84.93,47.61,0.112229,97.57,91.72,57.86,0.106602,91.0,86.18,42.12,0.225887
shifting_level 2,90.64,85.01,55.48,0.208191,83.82,73.05,24.44,0.130524,95.8,88.59,28.68,0.166847,96.83,94.42,64.03,0.297657,98.81,91.36,41.43,0.220587,96.13,80.04,44.97,0.556807,99.02,94.93,41.65,0.482829,81.4,82.79,37.69,0.007654,88.55,94.9,30.58,0.288107,98.47,88.18,47.28,0.327968,89.47,80.1,58.89,0.018278,98.48,97.16,42.6,0.204388,67.12,61.22,15.8,0.005331,84.44,83.82,47.78,0.115174,97.47,91.67,58.37,0.086116,91.1,85.82,42.64,0.207764
shifting_level 3,90.49,85.14,55.48,0.192354,83.92,72.08,24.69,0.136667,95.67,90.26,28.9,0.14968,96.37,93.87,64.11,0.294508,98.92,92.91,40.59,0.234905,96.04,78.56,44.68,0.55586,98.94,94.72,41.14,0.458834,81.82,82.25,38.1,0.007304,88.41,94.61,30.5,0.282492,98.92,91.12,45.42,0.418612,90.46,78.7,60.18,0.017926,98.67,97.64,41.52,0.141565,68.57,61.09,16.47,0.004724,87.8,83.7,48.43,0.111502,97.7,90.84,57.94,0.082855,91.51,85.83,42.54,0.205986
shifting_level 4,90.67,84.72,55.76,0.222603,83.83,72.0,26.09,0.135393,95.83,91.59,28.77,0.196309,96.3,93.99,63.5,0.32812,99.0,93.74,41.27,0.229892,96.01,79.65,43.35,0.530756,98.97,94.23,40.9,0.442137,81.92,82.47,37.78,0.006997,88.51,94.38,29.97,0.293256,98.57,89.13,48.03,0.333647,90.5,79.91,59.33,0.017037,98.2,97.45,38.21,0.351543,67.79,61.38,15.85,0.004128,87.47,84.0,48.17,0.108295,97.91,92.49,58.27,0.092741,91.43,86.08,42.35,0.219524
