transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
contrast_level 1,98.87,96.59,80.12,0.234051,94.05,87.23,62.15,0.26232,96.37,91.62,46.15,0.230837,99.48,98.2,73.66,0.251356,99.21,94.75,52.54,0.309568,99.27,96.84,71.54,0.293161,99.38,98.13,53.17,0.301195,96.68,94.23,79.69,0.196239,95.69,96.56,64.11,0.186797,98.74,93.46,46.73,0.254459,97.88,89.57,75.64,0.256646,99.02,95.12,66.73,0.281811,81.57,70.46,34.06,0.186813,95.9,91.24,61.21,0.271234,99.04,97.14,70.29,0.194826,96.74,92.74,62.52,0.247421
contrast_level 2,98.83,96.49,79.98,0.235916,94.1,87.67,62.7,0.274882,95.88,90.51,44.95,0.243059,99.49,98.13,73.97,0.251245,99.12,94.3,51.41,0.31289,99.24,96.79,70.67,0.292669,99.36,97.75,52.58,0.298455,96.05,93.57,76.68,0.204565,94.92,96.47,63.25,0.186083,98.64,92.97,46.93,0.261073,97.77,89.09,75.59,0.262196,99.03,94.99,66.82,0.285812,81.65,69.87,34.38,0.193105,95.32,90.82,59.84,0.264268,99.12,97.05,71.42,0.204523,96.57,92.43,62.08,0.251383
contrast_level 3,98.82,96.41,78.59,0.24461,93.92,86.97,62.27,0.293092,95.14,89.56,42.38,0.263918,99.49,98.15,74.03,0.246402,98.47,91.32,49.11,0.324026,99.16,96.26,69.01,0.294197,99.34,97.67,52.09,0.293774,96.1,93.0,76.21,0.213479,92.15,94.89,60.91,0.189375,98.41,92.15,45.49,0.275638,97.54,88.77,75.52,0.267836,99.04,94.97,67.05,0.294958,81.36,69.15,34.04,0.209513,94.16,88.55,56.9,0.257799,99.09,96.98,71.89,0.221453,96.15,91.65,61.03,0.259338
contrast_level 4,98.38,95.21,73.84,0.261761,93.56,85.13,60.56,0.331751,94.5,86.53,34.87,0.298863,99.44,97.05,73.87,0.268519,98.62,92.44,51.06,0.316397,98.57,94.51,61.92,0.312516,99.18,96.08,49.86,0.304058,95.44,91.76,73.8,0.238671,85.35,89.45,48.57,0.215633,97.67,89.49,42.84,0.307157,96.83,87.48,74.4,0.278652,98.9,94.28,64.27,0.322912,80.21,65.78,30.15,0.249214,92.14,85.04,50.17,0.271391,97.74,91.69,64.72,0.273019,95.1,89.46,56.99,0.283368
rotation_level 1,99.35,97.82,83.88,0.232793,93.29,83.17,58.33,0.245956,96.85,89.32,47.92,0.205359,99.54,98.57,74.49,0.258096,99.25,97.9,54.61,0.325534,99.19,97.63,72.9,0.298024,99.47,98.43,60.73,0.328732,96.81,95.08,80.24,0.195999,95.29,97.35,55.68,0.216158,98.21,92.37,43.14,0.263786,97.98,92.46,77.49,0.269778,99.02,92.52,61.96,0.300268,87.88,59.53,46.05,0.198908,98.43,91.84,74.96,0.270116,98.78,96.19,70.84,0.179895,97.29,92.01,64.21,0.252627
rotation_level 2,99.34,97.84,83.73,0.239915,93.11,83.69,58.79,0.245196,96.83,89.01,47.75,0.210731,99.55,98.56,75.33,0.253938,99.28,96.16,54.49,0.318424,99.13,97.26,72.57,0.295862,99.45,98.25,59.54,0.32053,96.89,95.06,80.61,0.196677,95.1,97.15,55.47,0.216371,98.14,91.27,43.07,0.269264,98.01,92.8,77.66,0.267744,99.07,93.88,62.16,0.299805,86.5,58.74,44.07,0.195648,98.36,94.37,74.89,0.26945,98.71,96.04,70.16,0.175203,97.16,92.01,64.02,0.251651
rotation_level 3,99.18,97.16,81.52,0.24266,92.65,82.64,56.8,0.248038,96.19,87.65,43.52,0.19622,99.43,98.24,71.85,0.260739,99.15,97.18,51.22,0.318399,99.06,97.11,70.72,0.306191,99.34,97.87,57.58,0.330658,96.48,94.24,79.07,0.195575,95.03,95.78,51.0,0.2199,97.54,89.45,26.16,0.252419,97.84,87.69,75.96,0.265343,98.9,91.24,60.21,0.300676,85.82,58.2,40.78,0.192953,98.21,92.82,72.5,0.271087,98.48,94.9,66.99,0.181946,96.89,90.81,60.39,0.252187
rotation_level 4,98.96,96.73,79.77,0.245434,92.37,82.35,54.7,0.253971,95.62,86.36,37.07,0.202004,99.05,96.93,64.78,0.266959,98.87,96.32,40.1,0.308136,98.84,96.22,65.65,0.306481,99.16,97.16,51.49,0.328791,96.04,93.69,77.49,0.196517,94.72,94.66,45.64,0.212176,96.79,85.37,16.5,0.240489,97.55,91.4,74.18,0.275012,98.96,91.91,59.23,0.308164,83.67,56.48,34.16,0.184079,97.94,89.83,70.02,0.267629,97.61,92.26,59.01,0.17717,96.41,89.84,55.32,0.251534
zooming_level 1,98.74,96.28,80.67,0.225831,95.92,89.42,71.99,0.255219,96.91,97.23,54.0,0.249188,99.31,97.82,69.6,0.248284,98.99,96.5,53.25,0.297173,98.96,93.98,71.45,0.296489,99.64,99.11,59.39,0.348022,96.23,92.15,84.02,0.196048,96.6,96.37,72.22,0.186512,99.06,95.21,50.1,0.254155,97.37,91.71,76.53,0.221474,98.69,94.43,71.16,0.280989,81.27,61.59,39.7,0.166815,98.54,94.23,69.09,0.300235,99.01,95.77,72.33,0.191638,97.02,92.79,66.37,0.247871
zooming_level 2,98.66,95.8,80.81,0.235016,95.49,89.03,72.03,0.257374,96.32,96.58,52.45,0.253398,99.27,97.52,71.43,0.247958,99.0,94.44,50.92,0.306234,98.85,92.66,71.73,0.298164,99.61,99.04,59.26,0.333014,95.96,92.33,84.01,0.198957,96.51,96.01,72.43,0.188678,99.01,94.14,53.33,0.270422,97.19,91.48,76.53,0.221779,98.62,94.31,71.45,0.283216,80.09,60.6,39.4,0.169074,98.5,93.47,70.19,0.301802,99.0,93.24,74.38,0.196295,96.81,92.04,66.69,0.250759
zooming_level 3,98.5,95.65,81.11,0.234941,95.2,88.05,73.25,0.258597,95.97,96.39,53.76,0.265576,99.3,97.6,73.16,0.245681,98.93,95.28,51.23,0.286429,98.75,91.6,72.09,0.298415,99.57,98.95,59.06,0.327942,96.02,89.14,84.43,0.200246,96.23,95.36,72.94,0.189945,99.1,92.14,55.29,0.269323,97.11,91.13,77.12,0.222245,98.56,93.28,72.81,0.28691,80.02,58.74,40.87,0.169732,98.55,95.87,70.91,0.298135,98.4,92.24,72.23,0.219743,96.68,91.43,67.35,0.251591
zooming_level 4,98.33,94.97,81.48,0.235746,94.96,87.11,72.82,0.266953,95.96,96.27,53.43,0.250062,99.15,96.84,72.71,0.238004,98.82,95.23,51.15,0.297957,98.55,92.68,70.82,0.296245,99.55,98.61,59.79,0.335235,95.63,91.18,83.46,0.204706,96.03,94.3,73.06,0.187234,99.14,92.27,58.29,0.273226,97.03,88.6,77.46,0.221309,98.52,91.13,73.27,0.295059,78.01,53.11,38.78,0.170704,98.48,95.46,71.61,0.293655,98.29,88.89,73.54,0.235583,96.43,90.44,67.44,0.253445
shifting_level 1,98.49,96.34,79.87,0.224574,95.02,91.49,60.38,0.25029,98.36,94.02,54.23,0.220509,99.39,98.12,71.09,0.242306,99.16,96.72,48.78,0.286622,99.13,97.21,73.28,0.287795,99.2,98.54,49.74,0.330956,97.06,95.3,81.11,0.197273,95.42,96.91,63.14,0.191105,98.92,95.77,48.07,0.255735,97.8,90.23,72.55,0.245158,99.22,95.92,58.08,0.318022,85.66,77.84,44.95,0.197615,96.53,94.35,62.04,0.28928,99.04,97.29,71.39,0.181385,97.23,94.4,62.58,0.247908
shifting_level 2,98.51,96.45,79.96,0.225001,94.6,90.49,60.63,0.253637,98.25,94.8,53.73,0.223993,99.42,98.17,71.48,0.24319,99.04,93.87,49.45,0.280451,99.1,96.84,72.46,0.287727,99.24,98.43,50.54,0.327562,97.14,95.16,80.82,0.198926,95.59,96.33,63.14,0.189715,98.89,95.27,46.79,0.254582,97.73,88.4,72.73,0.243714,99.23,95.8,56.0,0.32009,85.38,77.16,44.26,0.198169,96.23,92.5,61.47,0.293719,98.88,96.99,70.41,0.181132,97.15,93.78,62.26,0.248107
shifting_level 3,98.57,96.41,80.01,0.225711,94.77,91.15,59.89,0.255985,98.31,95.3,53.7,0.221926,99.39,97.91,70.72,0.238517,99.09,94.97,49.94,0.291022,99.12,96.72,72.46,0.289594,99.22,98.4,50.14,0.326715,97.08,95.18,80.26,0.199774,95.86,96.63,63.44,0.189069,98.99,95.21,47.76,0.254807,97.78,92.34,73.01,0.247936,99.23,95.92,52.8,0.308961,85.65,77.61,44.87,0.19446,96.39,92.97,63.4,0.296116,98.87,97.0,71.04,0.184245,97.22,94.25,62.23,0.248323
shifting_level 4,98.19,95.54,77.33,0.237751,94.39,89.37,58.05,0.259235,97.61,92.43,41.33,0.238916,99.31,97.74,68.41,0.249203,98.73,89.38,43.98,0.290444,99.04,97.01,71.89,0.288457,99.1,98.32,48.25,0.320822,96.87,94.57,78.78,0.201097,95.09,95.96,59.92,0.200043,98.37,91.18,25.61,0.261971,97.61,81.02,70.36,0.251916,99.28,94.94,60.42,0.306131,85.99,77.4,44.2,0.200424,96.0,93.7,58.32,0.303567,98.18,92.09,59.29,0.190963,96.92,92.04,57.74,0.253396
