transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
contrast_level 2,88.28,91.61,82.35,0.195191,98.33,99.02,95.15,0.2897,83.84,92.87,84.54,0.198564,94.72,97.94,93.88,0.278578,95.6,97.84,93.2,0.305523,85.44,88.61,79.12,0.202553,59.98,59.99,68.22,0.350631,85.48,86.56,79.31,0.493854,75.84,75.96,75.81,0.497649,79.2,78.29,77.42,0.407017,87.96,88.54,81.9,0.662343,98.96,99.51,96.0,0.208103,86.14,88.06,83.91,0.340809
contrast_level 3,84.56,87.95,75.81,0.149659,97.33,98.47,92.59,0.246593,81.28,92.25,83.15,0.166704,94.88,97.82,92.63,0.25523,95.84,97.78,95.15,0.251968,84.84,87.04,76.8,0.136835,56.96,54.67,68.97,0.25408,82.24,83.94,77.59,0.415629,75.88,76.12,73.6,0.435799,78.44,78.18,76.42,0.361958,90.76,90.26,84.54,0.610604,98.96,99.5,96.0,0.198103,85.16,87.0,82.77,0.290264
contrast_level 4,77.82,83.32,72.73,0.122228,89.73,94.45,88.66,0.214363,76.96,90.1,80.0,0.098296,90.24,95.94,88.66,0.150929,96.88,98.42,94.34,0.147678,69.64,69.63,72.88,0.100972,51.64,53.91,68.57,0.161141,77.0,77.26,75.0,0.289717,76.44,78.92,75.2,0.311014,73.96,78.44,71.07,0.254495,95.12,94.11,92.0,0.464234,96.56,98.41,92.63,0.170398,81.0,84.41,80.98,0.207122
rotation_level 1,88.93,90.53,80.56,0.380225,86.03,92.17,86.49,0.378957,94.98,97.93,93.94,0.455941,99.48,99.74,98.55,0.37899,94.98,97.71,92.75,0.339394,85.21,87.16,77.61,0.386165,61.85,57.56,71.74,0.488133,85.38,84.53,83.33,0.603987,78.29,79.52,77.27,0.577442,78.03,76.87,78.26,0.466154,98.79,99.01,96.97,0.746317,97.75,98.83,95.77,0.280539,87.47,88.46,86.1,0.456854
rotation_level 2,90.48,92.27,83.33,0.388511,92.5,96.04,90.41,0.392354,95.85,98.34,95.38,0.461669,99.48,99.76,98.51,0.453185,92.39,96.65,90.14,0.333826,80.45,80.48,76.92,0.379886,60.64,58.37,68.04,0.485625,86.85,87.86,79.41,0.61912,77.85,71.09,78.16,0.582456,75.43,74.67,73.56,0.458021,98.7,98.86,95.38,0.749055,97.4,98.71,94.44,0.279418,87.34,87.76,85.31,0.46526
rotation_level 3,86.33,89.33,77.42,0.435322,94.71,97.08,92.54,0.411539,94.81,97.86,92.54,0.44036,98.44,99.38,98.51,0.454082,93.94,97.61,92.31,0.372778,83.04,83.74,76.47,0.425915,59.26,55.34,70.45,0.533808,82.53,82.81,78.95,0.606802,76.99,76.6,77.11,0.615067,75.0,79.64,73.42,0.484153,98.7,98.76,94.12,0.739612,97.92,98.91,97.06,0.329187,86.81,88.09,85.08,0.487385
rotation_level 4,88.06,91.56,82.35,0.400622,81.47,89.92,82.05,0.391478,92.04,96.54,91.18,0.449447,99.13,99.62,98.51,0.431335,91.87,96.86,92.54,0.360577,78.37,82.43,74.7,0.399522,75.17,71.68,74.07,0.552685,87.02,88.87,83.08,0.618191,72.06,69.68,76.4,0.571104,79.33,80.88,75.36,0.495489,98.1,98.27,92.75,0.734272,98.62,99.33,95.77,0.315715,86.77,88.8,84.9,0.476703
zooming_level 1,93.57,95.4,88.57,0.352279,95.0,97.59,93.55,0.406582,94.3,97.11,91.67,0.384252,98.75,99.47,98.46,0.512077,97.68,99.14,98.46,0.358217,75.57,80.99,70.13,0.364971,70.98,76.86,70.21,0.441513,88.15,86.93,84.51,0.640223,74.84,73.73,75.0,0.637124,75.13,78.88,73.02,0.514139,94.21,94.7,91.18,0.765024,99.11,99.53,98.51,0.287869,88.11,90.03,86.11,0.472022
zooming_level 2,94.4,95.85,92.54,0.376706,95.61,97.59,93.94,0.405888,86.1,94.36,87.1,0.429103,99.29,99.67,98.46,0.451771,98.22,99.3,98.46,0.3937,79.34,84.29,74.29,0.411821,76.03,80.06,72.13,0.62013,88.52,90.75,80.65,0.705507,80.99,81.24,77.11,0.672438,77.36,79.81,75.36,0.519764,93.14,93.29,90.91,0.7751,100.0,100.0,100.0,0.319412,89.08,91.35,86.75,0.506778
zooming_level 3,93.02,94.99,90.62,0.383038,96.36,98.25,95.24,0.428441,93.76,97.1,91.43,0.409865,97.68,99.14,98.46,0.503717,97.86,99.11,96.97,0.404519,81.18,83.55,75.76,0.403738,66.85,71.76,69.47,0.477388,90.54,92.52,85.25,0.690485,69.05,72.2,71.74,0.63875,76.92,82.08,74.19,0.546976,95.54,95.98,91.18,0.787958,99.82,99.91,98.51,0.288226,88.21,90.55,86.57,0.496925
zooming_level 4,96.6,97.18,92.54,0.351774,95.61,97.75,92.06,0.406308,93.4,97.11,90.91,0.430949,98.75,99.47,98.46,0.450243,98.04,99.24,98.46,0.404004,86.5,88.53,81.36,0.409028,67.13,67.71,71.11,0.494788,87.97,90.63,80.0,0.723728,71.72,75.66,72.94,0.701245,76.56,82.29,75.0,0.5621,96.97,97.3,93.75,0.799604,100.0,100.0,100.0,0.336881,89.1,91.07,87.22,0.505888
shifting_level 1,93.2,94.67,89.23,0.401727,97.88,98.72,95.65,0.386428,96.97,98.44,97.06,0.443093,98.67,99.39,95.65,0.314015,92.8,97.25,92.06,0.374664,87.24,88.84,82.35,0.344711,68.78,66.64,73.81,0.495327,88.89,91.2,81.82,0.611669,81.54,81.68,79.41,0.618048,79.98,79.43,75.76,0.436867,95.13,95.62,89.55,0.720534,97.92,99.1,95.38,0.32173,89.92,90.92,87.31,0.455734
shifting_level 2,92.19,94.01,85.25,0.41489,94.7,96.69,91.43,0.367639,94.51,97.46,92.75,0.414678,99.24,99.65,97.06,0.34796,96.4,98.73,96.97,0.344524,85.67,88.86,78.48,0.310153,74.01,76.16,75.29,0.475405,90.36,90.26,88.24,0.607103,85.03,87.18,80.52,0.602234,79.61,80.43,78.12,0.438433,91.46,93.16,85.71,0.730951,97.54,98.88,95.52,0.306487,90.06,91.79,87.11,0.446705
shifting_level 3,94.03,95.27,88.89,0.371523,98.33,99.01,95.65,0.363859,94.7,97.19,95.52,0.424812,98.86,99.49,96.97,0.361527,95.08,98.03,92.75,0.305777,84.66,87.4,78.38,0.302075,69.79,71.32,70.33,0.460123,87.6,90.39,82.54,0.60987,84.21,84.4,80.0,0.580657,84.48,87.19,80.0,0.420074,94.77,96.11,91.8,0.739168,97.35,98.83,95.52,0.322882,90.32,92.05,87.36,0.438529
shifting_level 4,94.49,95.3,86.21,0.416395,96.36,97.98,95.52,0.369727,95.45,97.85,92.96,0.406973,97.92,99.1,95.38,0.363517,95.45,98.26,94.12,0.317346,85.95,88.33,80.0,0.297018,72.54,77.84,70.33,0.454267,86.13,85.63,81.58,0.575008,81.45,82.74,77.14,0.586266,82.09,81.25,78.87,0.416447,91.09,92.52,87.5,0.711945,97.92,98.99,95.65,0.273444,89.74,91.32,86.27,0.432363
