transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
contrast_level 4,95.22,92.04,24.32,0.148496,95.28,82.45,35.21,0.162446,96.23,89.85,36.67,0.089717,97.21,69.46,54.21,0.196533,95.08,86.11,30.59,0.056136,99.13,94.08,24.71,0.132688,95.42,74.68,3.27,0.225601,97.37,88.29,22.45,0.285451,94.08,80.95,20.78,0.35858,91.48,75.8,17.8,0.280746,94.83,86.3,32.31,0.497551,97.88,89.0,43.92,0.141201,95.77,84.08,28.85,0.214595
rotation_level 1,98.43,92.05,30.24,0.405166,97.27,88.08,39.21,0.346102,94.64,90.49,30.98,0.218216,99.25,89.82,62.63,0.688129,95.21,86.13,34.64,0.209717,99.44,89.15,38.31,0.375722,98.5,84.21,11.57,0.601244,95.32,79.35,31.18,0.698213,92.3,79.4,20.2,0.696685,94.94,82.9,7.46,0.531604,97.62,88.04,47.71,0.762315,98.01,91.59,42.73,0.423485,96.74,86.77,33.07,0.496383
rotation_level 2,98.54,87.27,33.14,0.36281,97.63,89.5,42.98,0.331352,94.73,93.25,34.94,0.230496,99.26,90.78,63.71,0.704754,95.25,84.55,34.31,0.193036,99.49,89.16,29.33,0.386043,98.61,81.98,13.03,0.640273,95.72,81.28,35.33,0.704202,91.3,76.03,16.45,0.698522,95.43,82.64,7.5,0.590677,97.69,88.85,45.74,0.757714,97.78,93.28,40.49,0.385168,96.79,86.55,33.08,0.498754
rotation_level 3,98.48,89.08,33.37,0.276434,98.0,91.53,45.8,0.348082,94.6,90.04,29.38,0.242265,99.27,90.28,64.22,0.758387,94.72,86.54,32.38,0.173034,99.45,87.86,32.4,0.417575,98.5,85.05,8.83,0.58201,95.83,79.68,38.34,0.719368,92.52,79.92,14.7,0.710933,94.58,82.14,6.69,0.619752,97.62,87.89,45.24,0.767246,97.88,91.58,41.09,0.405203,96.79,86.8,32.7,0.501691
rotation_level 4,98.4,87.52,37.18,0.315733,97.17,87.4,38.55,0.342901,94.58,91.26,28.98,0.249569,99.29,90.15,63.13,0.697496,94.9,86.61,33.54,0.198659,99.39,86.78,30.71,0.419401,98.42,86.2,10.97,0.650339,95.15,79.92,36.37,0.713933,91.52,79.4,18.35,0.725094,94.77,80.53,6.96,0.626985,97.43,87.53,43.73,0.763183,97.23,91.73,33.51,0.341092,96.52,86.25,31.83,0.503699
zooming_level 1,99.38,97.1,31.4,0.418049,97.07,92.18,56.9,0.295813,94.39,93.65,39.34,0.21304,99.42,86.88,69.79,0.759169,95.21,88.49,33.1,0.285509,98.86,94.6,22.51,0.372961,97.01,84.42,9.65,0.600905,95.9,80.38,36.48,0.698389,95.0,80.6,19.51,0.720992,82.96,70.48,9.51,0.586416,94.67,83.69,29.86,0.775835,97.2,88.14,49.85,0.292356,95.59,86.72,33.99,0.50162
zooming_level 2,99.35,96.78,33.66,0.391445,97.45,93.78,60.24,0.306705,93.71,93.86,36.24,0.204137,99.41,82.19,71.33,0.75397,95.04,87.48,33.86,0.293186,98.92,94.12,23.91,0.382852,97.68,86.04,11.59,0.604252,95.48,80.38,38.9,0.724999,94.02,77.0,22.16,0.729033,81.8,72.07,12.1,0.616284,93.21,81.54,31.89,0.782081,96.72,91.26,48.06,0.285182,95.23,86.38,35.33,0.506177
zooming_level 3,99.26,96.53,30.66,0.31035,96.58,92.52,56.14,0.308541,92.87,93.31,37.44,0.213214,99.23,83.48,69.69,0.734177,94.55,86.49,34.27,0.285623,98.85,94.57,24.38,0.402536,97.57,85.41,12.56,0.61133,95.1,77.55,36.89,0.714922,93.16,73.41,22.32,0.735263,79.9,71.83,10.0,0.628298,93.37,82.51,32.77,0.796296,96.27,91.93,50.14,0.332607,94.73,85.8,34.77,0.506096
zooming_level 4,99.42,95.85,34.04,0.306238,96.46,91.94,55.77,0.300133,92.14,94.5,36.72,0.205438,99.34,79.55,72.33,0.733476,94.31,86.15,35.04,0.289061,98.85,94.11,25.3,0.382284,97.41,83.69,10.6,0.602801,93.76,76.1,39.31,0.714726,92.94,72.72,23.09,0.732762,78.42,69.89,10.15,0.629319,92.25,81.61,32.69,0.797889,95.82,90.91,47.28,0.280132,94.26,84.75,35.19,0.497855
shifting_level 1,99.08,95.71,46.93,0.378907,98.78,96.71,59.67,0.346761,96.13,94.09,29.96,0.243075,99.42,92.39,66.97,0.772785,95.26,88.82,37.82,0.264962,99.54,93.82,29.62,0.435506,98.35,84.71,3.35,0.532729,93.24,84.37,8.0,0.700597,90.29,77.73,25.81,0.700042,87.77,82.79,7.57,0.505274,95.5,91.26,33.81,0.77302,98.89,94.06,30.89,0.613515,96.02,89.7,31.7,0.522264
shifting_level 2,99.15,95.34,47.19,0.372736,98.41,96.89,58.98,0.339386,95.67,91.89,29.55,0.257777,99.48,92.99,65.88,0.711636,95.49,89.96,40.86,0.271956,99.54,94.06,28.69,0.437546,98.37,82.29,3.93,0.499353,92.39,84.85,9.23,0.686509,90.39,79.54,27.23,0.697839,87.2,80.18,8.15,0.520732,95.02,91.73,32.61,0.767652,98.84,93.08,31.34,0.609648,95.83,89.4,31.97,0.514397
shifting_level 3,99.26,94.72,46.66,0.375104,98.62,96.21,60.49,0.326374,95.43,91.73,27.89,0.243109,99.49,92.4,65.71,0.697846,95.64,89.34,40.37,0.259633,99.44,93.92,35.53,0.423877,98.29,82.44,6.19,0.557629,92.39,83.26,7.53,0.703993,89.79,79.52,26.82,0.69708,87.06,82.47,8.62,0.55726,95.42,90.56,31.96,0.752213,99.01,93.3,32.06,0.615061,95.82,89.16,32.49,0.517432
shifting_level 4,99.26,95.26,43.89,0.332489,98.27,96.22,57.66,0.339945,95.69,94.5,27.29,0.233463,99.48,92.5,66.4,0.754374,95.74,91.46,40.79,0.270263,99.46,93.89,29.2,0.401871,98.31,82.52,8.06,0.610745,91.37,81.95,9.19,0.703401,88.98,78.07,26.48,0.705903,86.47,81.92,8.89,0.561647,95.08,91.32,31.18,0.75188,98.85,93.23,26.02,0.587624,95.58,89.4,31.25,0.521134
