transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
impulse_noise_level 2,81.24,49.95,32.23,0.56622,95.57,70.21,45.91,0.628111,93.6,70.8,39.14,0.510412,96.22,53.65,59.5,0.42332,94.22,85.5,40.1,0.473823,95.45,73.42,15.25,0.831411,96.21,81.69,5.48,0.852581,85.7,80.65,4.78,0.674698,92.52,77.73,20.48,0.822721,92.76,83.03,21.27,0.757891,93.12,84.71,27.35,0.691758,98.98,94.41,57.02,0.516147,92.97,75.48,30.71,0.645758
impulse_noise_level 3,78.85,47.44,26.43,0.530428,94.9,66.84,45.24,0.617485,94.08,70.53,42.1,0.537223,97.0,57.76,58.65,0.421174,94.55,83.61,41.99,0.489608,95.42,73.69,13.27,0.857126,95.03,78.83,3.9,0.841454,86.09,79.2,5.8,0.689892,91.46,75.24,19.7,0.813777,93.09,81.96,20.66,0.780437,92.93,83.84,27.16,0.731333,99.11,94.62,57.05,0.486401,92.71,74.46,30.16,0.649695
impulse_noise_level 4,79.85,36.77,15.1,0.609237,93.94,62.94,41.78,0.626173,94.53,72.65,39.19,0.574091,96.55,56.76,53.94,0.427197,94.37,82.92,41.37,0.520291,95.02,75.12,12.68,0.89025,95.15,80.28,2.96,0.790573,86.13,76.55,4.24,0.682239,91.82,76.44,18.05,0.81007,93.04,81.59,22.02,0.773416,92.3,83.09,25.23,0.764325,99.32,91.64,64.08,0.552242,92.67,73.06,28.39,0.668342
defocus_blur_level 1,97.45,85.65,47.86,0.579933,95.61,62.91,39.36,0.643962,95.79,77.7,24.13,0.48146,99.17,71.47,72.96,0.563008,94.82,83.87,40.53,0.516103,96.81,82.69,20.4,0.865542,96.59,83.45,1.46,0.841177,91.49,80.05,7.85,0.653348,92.65,81.54,19.49,0.79915,92.32,74.54,17.34,0.818208,92.74,75.18,20.84,0.732843,96.59,95.23,36.88,0.548899,95.17,79.52,29.09,0.670303
defocus_blur_level 2,96.82,83.76,47.32,0.589725,95.72,63.14,40.53,0.642376,95.28,78.76,21.58,0.52446,99.06,70.62,71.91,0.561176,94.95,82.93,40.87,0.516626,96.53,82.13,22.79,0.860959,96.47,82.88,1.27,0.85148,91.34,78.99,7.4,0.658485,92.44,81.28,21.17,0.805491,92.05,72.25,15.66,0.838184,92.66,74.71,21.48,0.774754,96.9,95.11,41.47,0.5327,95.02,78.88,29.45,0.679701
defocus_blur_level 3,95.43,77.93,43.03,0.581277,95.8,61.6,39.64,0.639102,94.5,80.07,19.82,0.467048,98.99,69.78,69.61,0.55718,95.18,81.52,41.84,0.515768,96.25,80.95,20.46,0.856471,95.76,80.6,0.78,0.716638,90.65,74.67,6.78,0.665213,91.54,79.62,19.75,0.793609,91.49,68.11,12.2,0.854692,92.44,73.87,22.55,0.808614,97.13,93.9,46.64,0.514757,94.6,76.89,28.59,0.664197
defocus_blur_level 4,92.97,73.32,40.43,0.588095,95.5,56.85,36.59,0.645109,94.5,83.35,20.15,0.553214,98.88,69.17,66.82,0.52302,95.08,80.26,42.14,0.523958,96.2,81.95,18.01,0.836023,94.86,78.59,0.69,0.7104,89.55,67.36,5.44,0.698694,91.37,78.28,18.01,0.777466,91.09,65.87,9.56,0.824971,92.19,73.26,23.27,0.808609,97.13,92.72,47.91,0.520067,94.11,75.08,27.42,0.667469
motion_blur_level 1,96.49,90.43,38.73,0.535911,95.16,59.82,47.71,0.653814,93.4,78.16,36.06,0.502885,99.48,76.17,75.24,0.599228,94.25,87.74,32.84,0.503788,96.74,88.77,17.31,0.848566,95.68,84.59,5.88,0.90295,86.66,90.15,10.14,0.741589,90.82,75.54,13.02,0.766653,89.81,76.35,26.73,0.830565,94.45,77.25,24.84,0.736745,99.46,97.08,47.2,0.623331,94.37,81.84,31.31,0.687169
motion_blur_level 2,95.99,90.64,39.15,0.538248,94.33,54.81,45.9,0.633899,93.52,79.85,33.25,0.505069,99.45,79.33,74.67,0.604559,94.43,87.31,33.54,0.506081,96.66,87.96,14.88,0.851885,95.39,83.35,5.2,0.899828,87.5,89.75,10.64,0.741262,90.33,75.42,11.58,0.766845,89.6,75.14,23.48,0.859236,94.25,77.3,23.75,0.771296,99.49,96.86,51.52,0.62961,94.24,81.48,30.63,0.692318
motion_blur_level 3,94.46,89.04,34.11,0.529092,93.83,55.07,48.32,0.620266,94.18,79.6,31.8,0.475504,99.36,75.65,72.84,0.60286,94.64,86.55,35.95,0.535863,96.71,87.68,15.14,0.898665,95.16,82.38,5.3,0.885824,88.04,89.48,8.78,0.751082,88.18,70.77,9.65,0.755583,89.34,72.28,18.63,0.87641,93.47,77.15,21.79,0.800046,99.55,96.22,55.61,0.616038,93.91,80.16,29.83,0.695603
