transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
brightness_level 2,96.56,98.99,95.24,0.374443,85.76,91.99,83.33,0.663179,95.3,99.06,95.41,0.505104,100.0,100.0,100.0,0.257911,97.81,99.23,94.92,0.195406,82.43,91.82,80.0,0.685987,100.0,100.0,100.0,0.419946,79.69,95.39,89.52,0.163418,78.98,95.27,91.61,0.384975,70.16,86.24,86.33,0.475806,100.0,100.0,100.0,0.369326,92.22,97.5,92.86,0.65805,68.0,67.47,66.67,0.617408,98.0,99.39,96.55,0.505955,91.25,97.77,91.47,0.187967,89.08,94.67,90.93,0.430992
brightness_level 3,97.81,99.32,96.87,0.362434,85.53,92.03,83.64,0.579028,94.85,98.97,94.74,0.489888,100.0,100.0,100.0,0.244102,99.37,99.78,98.25,0.212042,85.14,93.07,83.87,0.748547,100.0,100.0,100.0,0.438692,79.3,95.27,89.52,0.198449,72.91,93.72,91.61,0.435298,50.24,78.7,85.11,0.310138,100.0,100.0,100.0,0.425188,92.22,97.5,92.86,0.621679,69.5,70.09,65.31,0.610964,97.67,99.3,96.55,0.597037,89.69,97.18,91.67,0.250566,87.62,94.33,91.33,0.434937
brightness_level 4,98.12,99.45,96.87,0.406978,88.08,93.0,86.87,0.61908,93.64,98.66,94.64,0.418322,100.0,100.0,100.0,0.259117,99.69,99.89,98.31,0.227558,85.71,92.83,84.06,0.769454,100.0,100.0,100.0,0.419726,80.46,95.38,89.52,0.230238,65.66,91.77,91.61,0.582716,56.19,79.44,86.96,0.44591,99.3,99.75,98.8,0.549851,97.78,99.14,96.77,0.666468,70.5,71.52,70.0,0.715915,99.33,99.78,98.36,0.342364,89.27,97.13,91.8,0.257545,88.25,94.52,92.3,0.460749
contrast_level 1,95.48,98.54,95.24,0.338219,71.74,85.28,76.03,0.186871,77.61,94.8,91.38,0.400183,96.27,99.05,97.67,0.228226,96.43,98.82,94.74,0.199623,87.57,93.86,85.71,0.523366,100.0,100.0,100.0,0.361556,83.4,96.06,91.09,0.199815,81.87,96.5,92.0,0.357059,92.37,97.31,94.31,0.486082,98.07,99.3,96.47,0.366867,95.56,98.44,93.33,0.603586,79.0,73.45,72.73,0.6408,100.0,100.0,100.0,0.362204,88.03,96.61,91.06,0.221722,89.56,95.2,91.45,0.365079
contrast_level 2,96.13,98.8,95.24,0.304405,72.56,85.41,76.74,0.629986,75.25,94.07,90.76,0.109638,95.62,98.87,96.47,0.247087,95.0,98.42,93.1,0.16804,89.43,94.44,87.18,0.504314,100.0,100.0,100.0,0.353334,84.19,96.03,91.09,0.182003,79.56,95.8,91.5,0.163156,89.75,96.18,90.91,0.54171,98.96,99.61,97.67,0.284776,93.33,97.58,90.91,0.502529,77.67,73.52,70.27,0.70721,100.0,100.0,100.0,0.348102,84.43,95.6,91.94,0.214867,88.79,94.96,90.92,0.350744
contrast_level 3,96.13,98.92,95.24,0.306589,71.29,83.8,76.92,0.581314,58.59,89.28,90.76,0.095238,95.45,98.77,95.24,0.200876,95.0,98.42,94.74,0.178868,91.29,95.42,87.32,0.568452,100.0,100.0,100.0,0.189408,75.89,93.77,90.91,0.239712,71.54,93.72,91.5,0.155217,85.08,94.8,88.72,0.423472,99.55,99.84,97.67,0.181724,93.33,97.39,93.75,0.436183,77.67,73.91,68.57,0.768653,100.0,100.0,100.0,0.252474,86.33,96.41,89.39,0.21044,86.48,94.3,90.72,0.319241
contrast_level 4,93.55,98.1,93.75,0.226707,69.87,81.9,76.03,0.247671,42.09,82.83,90.76,0.088534,88.31,96.25,92.47,0.128375,88.93,96.48,89.29,0.232131,92.71,95.62,91.89,0.453032,94.29,98.3,94.25,0.180544,60.47,88.24,91.09,0.16825,58.68,89.16,91.5,0.104953,83.9,94.48,88.72,0.325784,97.77,99.28,97.56,0.13033,91.11,97.02,90.32,0.354528,68.0,64.44,63.64,0.630631,96.67,99.01,96.67,0.152243,69.92,91.65,88.06,0.223584,79.75,91.52,89.07,0.243153
rotation_level 1,97.28,99.24,97.56,0.303435,76.94,87.3,79.45,0.455886,89.53,97.84,92.31,0.487084,100.0,100.0,100.0,0.222128,96.24,98.9,97.3,0.353467,90.48,95.19,86.96,0.662452,100.0,100.0,100.0,0.508664,77.02,94.05,88.57,0.222465,80.85,96.3,92.16,0.413482,83.57,94.23,87.36,0.464293,100.0,100.0,100.0,0.407427,95.0,98.33,94.74,0.700014,79.29,81.31,71.43,0.628574,99.29,99.76,97.56,0.234563,94.55,98.67,93.51,0.329948,90.67,96.07,91.93,0.426259
rotation_level 2,99.32,99.78,97.67,0.293696,72.58,84.69,77.14,0.531815,91.89,98.25,94.74,0.445727,100.0,100.0,100.0,0.233208,96.24,98.9,97.3,0.351774,92.86,96.36,89.36,0.613404,100.0,100.0,100.0,0.483949,80.65,95.16,89.23,0.318374,80.61,96.17,92.16,0.43751,88.39,95.66,92.68,0.455843,100.0,100.0,100.0,0.400075,92.5,97.69,94.74,0.693364,76.43,79.9,71.43,0.619235,98.57,99.55,97.44,0.542129,93.86,98.55,93.83,0.295624,90.93,96.04,92.51,0.447715
rotation_level 3,97.28,99.24,97.56,0.297819,74.19,85.69,78.79,0.511776,95.61,99.17,95.89,0.512264,100.0,100.0,100.0,0.272106,100.0,100.0,100.0,0.266989,91.96,96.12,88.37,0.659562,100.0,100.0,100.0,0.375918,77.02,94.08,88.57,0.219881,85.34,97.31,92.16,0.428821,87.14,95.94,87.06,0.503357,99.68,99.88,98.25,0.361742,97.5,99.09,95.24,0.556746,79.29,80.72,73.33,0.655813,100.0,100.0,100.0,0.358892,94.09,98.49,92.31,0.320913,91.94,96.38,92.5,0.420173
rotation_level 4,96.6,99.01,95.24,0.282349,77.58,88.52,78.87,0.437272,87.84,97.35,93.33,0.49155,100.0,100.0,100.0,0.290604,96.24,98.9,97.3,0.331655,90.48,95.34,90.2,0.588309,100.0,100.0,100.0,0.526752,83.47,95.93,89.86,0.279841,81.56,96.53,91.26,0.453187,87.14,95.64,89.89,0.49421,99.68,99.88,98.25,0.323094,95.0,98.33,94.74,0.680468,73.21,71.31,68.57,0.647517,100.0,100.0,100.0,0.279125,96.36,98.97,96.39,0.295705,91.01,95.71,92.26,0.426776
zooming_level 1,92.52,97.83,92.68,0.304122,70.46,83.0,78.26,0.538197,87.15,97.23,93.33,0.416431,99.26,99.79,98.31,0.241968,97.74,99.22,95.0,0.178861,83.28,92.64,85.0,0.654639,100.0,100.0,100.0,0.50004,75.58,94.6,89.86,0.120097,87.94,97.78,91.26,0.296103,82.14,92.67,89.41,0.495084,98.05,99.3,96.3,0.389653,100.0,100.0,100.0,0.567758,60.38,60.85,63.64,0.590472,98.33,99.55,97.44,0.464072,87.5,96.94,91.14,0.231704,88.02,94.09,90.78,0.39928
zooming_level 2,87.76,96.55,89.47,0.42672,73.51,85.73,78.12,0.582803,87.5,97.29,91.89,0.363521,99.63,99.89,98.36,0.098055,97.74,99.28,97.3,0.250309,84.95,93.24,85.71,0.586561,100.0,100.0,100.0,0.544108,79.72,95.39,91.18,0.172283,85.82,97.46,91.26,0.199641,75.89,90.83,85.71,0.392895,97.73,99.16,94.92,0.269608,97.5,99.09,95.24,0.479957,62.69,57.59,63.64,0.572914,99.17,99.76,97.56,0.347662,86.82,96.56,90.0,0.212576,87.76,93.85,90.02,0.366641
zooming_level 3,87.76,96.46,89.47,0.423186,70.46,83.15,77.78,0.50885,83.68,96.51,90.41,0.414557,100.0,100.0,100.0,0.166792,98.5,99.5,97.3,0.224764,86.62,93.98,86.36,0.578266,100.0,100.0,100.0,0.514341,76.96,94.84,89.86,0.1732,82.98,96.62,92.16,0.246069,79.29,92.28,88.1,0.569776,99.03,99.65,98.18,0.355833,97.5,99.09,95.24,0.564823,63.08,64.13,66.67,0.650637,98.33,99.55,97.44,0.489407,87.27,96.67,89.41,0.208864,87.43,94.16,90.56,0.405958
zooming_level 4,92.52,97.74,91.3,0.229805,68.76,82.5,76.54,0.170621,87.15,97.29,90.91,0.299201,100.0,100.0,100.0,0.160655,100.0,100.0,100.0,0.209566,88.63,94.82,87.8,0.649443,100.0,100.0,100.0,0.486542,80.18,95.51,91.18,0.177839,83.22,96.74,91.26,0.180846,82.5,93.96,88.37,0.488679,95.45,98.47,94.34,0.459634,95.0,98.09,95.24,0.49284,58.46,58.22,63.64,0.670031,98.33,99.55,97.44,0.439372,92.73,98.17,92.86,0.205692,88.2,94.07,90.73,0.354718
shifting_level 1,96.03,98.97,95.0,0.453484,89.47,93.64,85.29,0.548857,83.73,96.36,93.51,0.445352,100.0,100.0,100.0,0.227988,100.0,100.0,100.0,0.309921,86.29,92.74,86.27,0.515045,99.67,99.89,98.36,0.390065,88.02,97.34,92.54,0.202688,73.94,94.55,94.0,0.360092,90.53,96.67,92.86,0.487553,96.75,98.78,94.55,0.352435,92.5,97.33,90.91,0.614101,81.15,80.35,78.57,0.553877,98.33,99.51,97.56,0.404214,83.59,95.62,90.7,0.243424,90.67,96.12,92.67,0.407273
shifting_level 2,89.68,97.29,92.68,0.423483,86.32,92.13,85.25,0.613097,87.7,96.81,94.44,0.422021,100.0,100.0,100.0,0.263274,100.0,100.0,100.0,0.313469,83.61,92.29,82.35,0.519948,100.0,100.0,100.0,0.459274,85.25,96.64,92.31,0.294956,74.2,94.42,93.07,0.349469,90.93,97.0,92.5,0.483947,96.43,98.73,94.55,0.360174,100.0,100.0,100.0,0.62346,82.31,80.55,76.92,0.570375,97.5,99.25,97.56,0.414983,89.23,97.49,90.67,0.348542,90.88,96.17,92.82,0.430698
shifting_level 3,96.03,99.01,95.24,0.290782,86.67,92.68,83.33,0.517748,90.08,97.8,94.74,0.389848,100.0,100.0,100.0,0.215987,100.0,100.0,100.0,0.319248,85.62,93.3,83.72,0.598739,100.0,100.0,100.0,0.464106,87.1,97.19,91.18,0.241261,72.34,93.53,93.07,0.414272,87.57,96.15,88.31,0.534249,98.05,99.33,96.43,0.356875,87.5,95.58,90.0,0.618396,78.85,78.88,76.92,0.607554,100.0,100.0,100.0,0.459932,85.38,96.35,90.7,0.315433,90.35,95.99,92.24,0.422962
shifting_level 4,94.44,98.4,95.45,0.315367,88.42,93.73,85.71,0.611329,85.32,96.86,94.74,0.356338,100.0,100.0,100.0,0.274944,100.0,100.0,100.0,0.307994,85.62,92.93,85.71,0.595593,100.0,100.0,100.0,0.488554,86.18,96.91,91.8,0.328607,69.68,93.37,92.16,0.292256,87.18,95.15,92.5,0.57053,98.38,99.46,98.18,0.307194,87.5,95.87,88.89,0.666935,83.08,85.35,81.48,0.65932,100.0,100.0,100.0,0.411923,87.44,96.88,90.7,0.319548,90.22,96.33,93.15,0.433762
