transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
contrast_level 1,86.76,89.15,79.17,0.433551,84.07,90.39,85.71,0.429121,88.64,94.39,88.0,0.404238,88.0,94.96,86.79,0.513649,81.68,90.64,85.19,0.34878,79.36,77.69,75.63,0.548885,68.88,69.09,70.8,0.673435,71.44,73.92,72.27,0.686334,76.08,78.64,73.28,0.598122,71.48,75.3,72.38,0.74194,90.52,90.42,84.91,0.634017,91.44,95.86,89.11,0.493843,81.53,85.04,80.27,0.54216
contrast_level 2,87.36,89.48,81.48,0.427063,79.8,88.41,81.82,0.429471,89.12,94.97,89.32,0.381087,86.64,94.26,86.32,0.5441,78.96,89.79,84.21,0.305842,79.28,78.41,75.86,0.607517,68.44,68.02,71.19,0.653619,72.52,73.35,70.87,0.669506,78.8,80.28,74.42,0.598611,72.96,75.68,74.78,0.722975,91.68,92.25,86.0,0.650431,91.6,95.99,89.72,0.42349,81.43,85.07,80.5,0.534476
contrast_level 3,79.76,82.91,76.19,0.425726,74.6,85.12,80.0,0.382899,92.48,96.18,91.67,0.432257,91.04,96.33,90.53,0.491319,77.12,89.87,81.3,0.276415,80.32,79.87,78.33,0.564015,64.8,64.83,68.66,0.578298,65.36,66.32,67.63,0.632918,80.4,82.09,75.25,0.6576,75.64,77.86,73.33,0.727166,90.36,91.57,84.31,0.649375,86.88,93.57,86.24,0.428712,79.9,83.88,79.45,0.520558
contrast_level 4,80.32,83.2,74.47,0.631405,64.87,78.47,77.52,0.395698,86.8,93.82,85.96,0.366936,85.52,93.51,85.42,0.39218,63.36,83.88,80.0,0.259208,71.52,71.25,72.88,0.617985,61.48,62.7,70.07,0.618098,49.84,55.56,66.67,0.453775,73.84,73.87,73.17,0.539056,61.24,64.6,66.67,0.69207,89.32,91.78,83.87,0.692696,80.96,90.77,83.5,0.443497,72.42,78.62,76.68,0.50855
rotation_level 1,70.85,77.6,68.75,0.320961,55.74,72.15,77.27,0.35445,87.54,94.95,88.24,0.497592,96.37,98.39,95.65,0.490274,92.91,95.9,94.29,0.417639,78.03,75.47,78.05,0.568253,62.11,61.32,68.97,0.664517,64.79,68.41,67.44,0.701637,77.08,77.36,74.73,0.616087,65.92,67.28,70.42,0.666079,89.71,90.87,82.05,0.675249,91.35,95.47,90.91,0.655351,77.7,81.26,79.73,0.552341
rotation_level 2,72.4,80.5,69.09,0.524335,58.97,75.74,79.07,0.416689,85.81,94.01,86.11,0.439241,96.02,98.5,95.52,0.535674,89.1,94.62,91.18,0.489027,71.71,68.66,75.56,0.518239,63.24,66.42,68.75,0.643115,69.98,71.11,68.69,0.611277,79.24,73.46,78.16,0.714643,68.34,73.51,68.89,0.637715,88.93,91.18,80.0,0.647287,92.73,96.47,91.18,0.619467,78.04,82.02,79.35,0.566392
rotation_level 3,73.18,81.2,73.33,0.534785,53.68,73.13,77.27,0.327003,93.43,96.99,91.18,0.507622,95.5,98.2,94.12,0.501459,86.16,92.47,89.19,0.463927,76.3,75.61,76.4,0.589787,59.69,57.89,68.82,0.686632,72.75,79.2,71.6,0.724095,74.74,74.49,73.56,0.679774,73.18,76.31,71.58,0.612657,93.69,94.92,86.96,0.714337,91.52,95.87,92.75,0.671869,78.65,83.02,80.56,0.584496
rotation_level 4,70.07,77.07,68.97,0.458817,46.18,64.61,77.27,0.428794,87.37,93.01,89.86,0.488195,96.19,98.49,94.29,0.505283,91.18,95.6,91.67,0.521966,76.56,71.28,78.57,0.638125,70.16,73.3,70.89,0.747805,82.87,82.99,81.48,0.742156,68.34,66.05,73.91,0.69626,69.12,73.71,71.79,0.713056,90.92,93.22,84.75,0.739717,88.41,94.38,89.86,0.673219,78.11,81.98,81.11,0.612783
zooming_level 1,78.79,85.26,75.41,0.497612,58.64,74.2,76.74,0.278981,82.17,92.26,83.08,0.394654,96.61,98.56,94.12,0.428206,91.27,94.99,91.18,0.361187,71.26,75.48,71.91,0.542755,62.35,62.84,71.26,0.583921,64.74,66.28,69.88,0.632813,73.19,72.95,76.06,0.65495,80.66,80.48,77.11,0.523867,87.25,88.37,84.06,0.615234,95.54,98.14,94.12,0.513768,78.54,82.48,80.41,0.502329
zooming_level 2,83.75,89.27,81.82,0.462722,58.48,74.37,77.65,0.292323,84.14,93.32,84.75,0.395039,96.97,98.7,96.97,0.405232,93.4,96.28,92.54,0.406656,76.68,75.82,73.33,0.51104,63.27,62.83,69.23,0.681986,69.97,75.49,69.33,0.686198,66.67,70.23,70.97,0.564761,81.82,81.23,80.0,0.586221,90.02,89.8,83.33,0.586717,91.8,96.57,90.0,0.542161,79.75,83.66,80.83,0.510088
zooming_level 3,81.36,86.51,75.32,0.415599,56.36,73.78,77.65,0.314305,88.24,95.12,88.52,0.415108,95.37,97.95,93.75,0.421889,95.37,97.22,95.65,0.367745,74.84,76.3,73.97,0.571956,57.76,58.64,68.82,0.522283,74.47,79.33,70.97,0.661058,64.19,65.84,69.66,0.512672,81.64,81.58,79.45,0.539188,89.04,89.01,81.82,0.687643,91.27,96.19,88.89,0.490071,79.16,83.12,80.37,0.493293
zooming_level 4,84.48,88.91,80.0,0.570923,62.27,77.0,78.57,0.322882,86.63,94.13,85.71,0.291533,97.5,98.9,95.38,0.404136,92.51,96.29,90.14,0.37465,81.63,83.53,77.78,0.551843,65.01,66.61,68.97,0.56186,68.41,68.46,69.47,0.507113,67.22,71.89,68.75,0.455922,85.29,86.2,81.16,0.578514,88.15,88.75,84.85,0.676765,93.23,97.04,92.54,0.54559,81.03,84.81,81.11,0.486811
shifting_level 1,77.96,84.16,75.0,0.37225,67.58,81.88,78.57,0.345698,86.74,94.36,86.57,0.398739,93.94,97.66,93.94,0.444301,96.02,98.03,94.12,0.382187,88.34,86.46,84.62,0.578906,70.52,70.23,72.5,0.662571,58.4,60.35,69.57,0.594008,72.91,73.48,72.46,0.673583,71.53,75.27,71.43,0.536236,89.81,91.59,85.71,0.630506,88.64,93.71,91.18,0.619701,80.2,83.93,81.31,0.519891
shifting_level 2,82.09,86.5,78.69,0.465869,64.7,81.12,76.74,0.363205,91.29,95.83,89.55,0.369815,94.13,97.73,92.06,0.51297,94.51,97.19,93.75,0.47541,80.9,79.83,77.92,0.569709,70.52,67.24,73.42,0.684457,64.74,69.2,69.7,0.731787,78.24,80.77,76.19,0.705453,74.01,80.42,69.47,0.505552,92.01,94.4,88.89,0.604231,83.52,88.82,90.41,0.582374,80.89,84.92,81.4,0.547569
shifting_level 3,78.51,84.5,73.33,0.510357,69.7,83.19,77.65,0.361262,87.88,93.92,89.86,0.420745,92.8,97.19,90.62,0.425502,95.08,97.54,92.96,0.435361,76.58,75.92,78.57,0.585117,65.75,66.57,71.26,0.66108,53.08,54.12,66.67,0.44142,78.05,79.14,77.33,0.615715,72.54,73.22,73.02,0.646041,91.46,91.5,84.21,0.642554,89.96,92.06,94.12,0.657386,79.28,82.41,80.8,0.533545
shifting_level 4,80.44,85.87,78.12,0.470106,62.88,79.55,78.57,0.367145,92.05,95.85,93.94,0.416486,94.32,97.83,93.55,0.460861,88.83,94.38,89.19,0.459927,76.49,77.6,75.68,0.659631,66.67,68.63,71.43,0.692773,49.59,53.37,67.35,0.540639,71.26,68.82,70.59,0.685984,80.35,78.3,80.52,0.60915,92.84,92.19,88.24,0.611104,86.93,91.76,91.43,0.62157,78.55,82.01,81.55,0.549615
