transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
impulse_noise_level 2,78.24,82.83,73.97,0.247785,85.76,92.16,84.85,0.276454,93.75,96.92,92.96,0.205795,92.99,97.55,95.24,0.2878,94.32,97.69,92.31,0.222769,98.62,98.62,95.65,0.201047,64.55,68.87,67.35,0.240825,95.59,93.09,94.29,0.275714,96.05,96.48,89.55,0.26202,87.24,89.0,84.06,0.27515,74.75,82.83,71.43,0.304583,99.62,99.83,98.46,0.231419,88.46,91.32,86.68,0.252613
impulse_noise_level 3,61.71,72.75,67.35,0.24012,84.55,91.74,83.33,0.277591,91.67,96.45,88.89,0.226944,95.64,98.27,95.24,0.28745,94.13,97.25,90.91,0.225234,96.14,96.64,88.89,0.225736,64.74,65.39,71.64,0.289701,95.13,92.68,94.29,0.285881,96.33,97.11,92.31,0.270158,85.95,86.64,81.69,0.28086,79.71,85.98,75.76,0.299846,96.78,98.63,93.75,0.240734,86.87,89.96,85.34,0.262521
impulse_noise_level 4,47.29,59.75,66.67,0.250056,83.79,91.29,82.35,0.296018,85.61,93.43,85.71,0.237629,91.67,96.08,90.91,0.292142,88.26,95.17,89.23,0.242182,83.38,87.49,78.38,0.264073,62.81,65.45,68.66,0.30822,96.97,95.4,95.52,0.300208,97.52,97.6,91.43,0.276201,79.61,81.31,75.61,0.287869,86.41,89.27,81.16,0.309473,91.67,96.88,91.8,0.270196,82.92,87.43,83.12,0.277856
defocus_blur_level 1,98.7,98.75,95.65,0.210685,94.26,96.65,91.18,0.270792,94.64,97.44,91.67,0.186411,96.19,98.28,92.06,0.235287,99.31,99.67,97.14,0.197828,94.46,93.72,90.14,0.173235,71.89,65.55,74.07,0.241812,96.8,96.13,91.89,0.273761,94.64,93.18,90.41,0.254159,90.57,91.46,84.93,0.251927,72.84,81.72,72.13,0.296747,97.4,98.68,95.65,0.211812,91.81,92.6,88.91,0.233705
defocus_blur_level 2,99.05,99.08,95.65,0.210399,93.09,95.8,91.18,0.271832,94.64,97.6,90.41,0.183797,95.67,98.07,92.06,0.235247,99.31,99.67,97.14,0.200232,95.59,94.63,90.14,0.17475,72.75,68.18,72.29,0.244232,96.41,95.38,94.29,0.276652,94.81,94.18,91.67,0.255055,91.18,92.34,83.87,0.282341,70.76,80.11,69.09,0.307117,97.92,98.93,95.77,0.205212,91.76,92.83,88.63,0.237239
defocus_blur_level 3,98.18,98.34,94.29,0.211335,92.5,95.61,90.91,0.281254,91.7,96.43,89.23,0.225223,95.5,98.09,92.75,0.217566,99.13,99.59,96.97,0.222763,94.81,94.02,89.23,0.203042,73.7,69.35,73.42,0.2547,94.9,93.27,92.75,0.289319,95.5,94.26,92.96,0.269551,92.73,93.3,87.67,0.260046,69.72,79.36,70.37,0.311163,98.27,99.17,95.52,0.228579,91.39,92.57,88.84,0.247878
defocus_blur_level 4,98.1,98.35,94.29,0.214743,92.5,95.37,91.18,0.284838,94.46,97.55,90.62,0.234329,95.33,97.97,92.31,0.239081,97.06,98.68,93.75,0.23774,90.66,89.72,86.49,0.209279,70.16,66.74,73.42,0.267543,95.59,94.07,91.67,0.296478,94.81,94.15,92.75,0.282412,92.3,93.8,84.21,0.279685,70.5,79.84,69.39,0.28781,97.58,98.94,95.65,0.239985,90.75,92.1,87.98,0.25616
motion_blur_level 1,98.81,98.86,94.29,0.197528,96.06,98.04,93.55,0.270193,91.27,96.01,88.89,0.185232,96.43,98.71,96.87,0.239452,95.01,97.45,92.75,0.203602,88.15,86.7,84.06,0.171932,67.68,63.2,72.09,0.228502,97.8,98.04,93.94,0.282059,89.99,87.55,90.62,0.266422,81.73,83.0,77.78,0.258798,74.33,83.99,77.19,0.30883,94.83,96.77,95.65,0.197633,89.34,90.69,88.14,0.234182
motion_blur_level 2,98.9,98.94,95.38,0.207363,95.3,97.49,90.91,0.265902,91.8,96.26,87.88,0.205961,96.26,98.48,95.38,0.232078,96.08,98.14,91.43,0.20038,88.8,87.23,84.85,0.17938,65.47,58.59,73.24,0.254844,95.68,95.81,90.91,0.290622,90.45,89.42,89.23,0.270307,83.07,84.14,81.25,0.276556,71.84,80.91,70.0,0.317361,94.3,96.24,92.96,0.196997,89.0,90.14,86.95,0.241479
motion_blur_level 3,98.35,98.41,94.12,0.215841,96.82,98.46,94.12,0.265649,93.76,97.04,92.31,0.218574,98.4,99.22,95.38,0.236992,94.83,97.5,92.75,0.218532,83.56,84.64,78.05,0.177591,64.55,58.81,71.05,0.262416,96.05,96.26,89.55,0.301779,86.41,86.77,84.85,0.288041,81.91,82.25,81.16,0.295219,68.18,78.12,68.97,0.331382,93.58,95.88,93.94,0.225526,88.03,89.45,86.35,0.253128
motion_blur_level 4,97.8,98.12,93.55,0.256423,98.18,99.19,98.46,0.2892,88.59,94.76,87.67,0.229377,96.79,98.55,94.12,0.25183,97.5,98.79,95.38,0.24513,77.41,78.97,76.54,0.208223,67.22,60.78,72.5,0.280363,92.93,92.64,85.71,0.314576,79.61,84.31,74.58,0.328915,73.53,77.61,71.23,0.322638,63.1,72.5,66.0,0.306325,92.34,96.01,90.32,0.265851,85.42,87.69,83.84,0.274904
zoom_blur_level 1,75.85,78.31,74.29,0.389728,67.58,73.93,78.05,0.383783,64.96,81.75,81.48,0.362165,90.34,95.07,91.43,0.403702,77.08,88.88,84.85,0.35588,70.16,71.19,72.73,0.347302,48.58,48.79,66.67,0.348248,82.19,84.78,76.92,0.436166,78.83,80.66,74.67,0.466665,74.1,76.95,73.17,0.436467,80.35,83.45,76.19,0.464544,68.94,85.9,81.48,0.391469,73.25,79.14,77.66,0.398843
zoom_blur_level 2,87.24,85.28,87.32,0.407348,66.21,68.86,82.67,0.429409,54.55,76.74,80.49,0.395495,81.25,90.16,84.93,0.438412,60.61,80.16,80.49,0.381623,70.34,69.83,70.89,0.39221,45.0,50.52,66.67,0.392721,77.23,78.23,76.71,0.480147,71.53,73.22,71.74,0.508517,69.61,71.97,71.6,0.484864,75.39,77.63,74.07,0.525831,66.48,84.7,81.48,0.415929,68.79,75.61,77.42,0.437709
zoom_blur_level 3,68.32,74.19,68.13,0.396703,74.39,85.86,79.52,0.447875,58.71,81.03,80.49,0.444302,78.6,89.9,84.21,0.474497,50.95,76.71,80.49,0.427634,59.41,63.25,68.04,0.421795,46.1,55.72,66.67,0.41537,54.09,60.41,68.09,0.510754,64.55,67.33,68.35,0.540488,62.63,60.47,72.73,0.52372,75.3,74.75,74.67,0.560074,72.92,87.64,81.48,0.423091,63.83,73.1,74.41,0.465525
zoom_blur_level 4,76.58,80.93,74.19,0.415373,62.58,73.76,77.65,0.463214,55.3,75.02,80.49,0.458023,76.33,88.53,85.33,0.501953,50.19,76.01,80.49,0.447525,50.96,52.57,68.18,0.448041,47.02,55.44,66.67,0.436354,58.95,60.15,69.47,0.526689,59.78,54.68,73.81,0.556214,71.53,70.23,70.21,0.537273,51.97,53.7,66.67,0.562365,74.43,88.23,83.12,0.45181,61.3,69.1,74.69,0.483736
brightness_level 1,96.0,95.54,92.0,0.205599,96.0,97.91,92.93,0.267342,92.88,96.19,91.59,0.203419,93.92,97.63,92.78,0.239292,99.44,99.75,98.0,0.206988,90.76,90.41,85.71,0.1746,67.52,64.13,71.3,0.239764,93.48,93.18,89.11,0.285955,95.96,95.73,92.78,0.276526,89.41,89.79,84.78,0.285697,75.18,84.95,80.46,0.304523,98.32,99.23,96.08,0.208833,90.74,92.04,88.96,0.241545
brightness_level 2,94.8,94.19,90.91,0.208528,95.47,97.63,91.59,0.263021,85.84,92.96,86.54,0.227082,86.56,94.78,88.17,0.265163,99.44,99.74,98.0,0.209597,90.84,90.55,85.19,0.178089,64.92,61.44,70.68,0.237379,93.2,93.06,87.38,0.291881,95.52,94.9,92.93,0.273173,88.51,88.85,85.71,0.27265,76.2,85.08,78.26,0.309695,94.24,96.76,94.23,0.230568,88.8,90.83,87.47,0.247236
brightness_level 3,91.72,91.59,86.6,0.227658,95.0,97.39,90.57,0.271816,64.8,83.63,80.0,0.234078,79.28,91.14,80.67,0.272128,99.2,99.63,97.03,0.214177,90.28,89.87,85.19,0.185758,63.6,60.28,70.5,0.233695,93.88,93.83,87.23,0.308757,95.4,94.92,95.05,0.27875,85.84,86.41,82.0,0.290637,74.2,82.61,72.55,0.317061,81.84,90.18,85.45,0.269105,84.59,88.46,84.4,0.258635
brightness_level 4,81.08,83.8,76.64,0.25278,93.2,96.23,90.72,0.292115,44.0,73.27,80.0,0.259521,66.8,83.39,81.3,0.3045,98.8,99.44,96.91,0.229763,89.72,89.16,85.44,0.198197,62.6,59.02,70.5,0.242824,93.52,93.09,87.85,0.314039,95.76,94.65,96.0,0.290961,82.82,84.1,75.63,0.29482,71.41,79.06,70.48,0.325816,68.96,83.12,80.0,0.290281,79.06,84.86,82.62,0.274635
