transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
impulse_noise_level 2,90.56,75.51,31.71,0.225841,98.53,97.38,59.15,0.212406,95.24,90.71,58.39,0.171016,98.05,79.29,52.04,0.274624,95.34,86.49,49.74,0.147056,99.2,91.77,30.48,0.223854,97.96,91.21,15.03,0.212956,98.7,89.91,82.04,0.236125,98.65,91.43,56.88,0.242006,94.26,88.77,55.21,0.239231,96.93,91.57,47.26,0.209178,97.02,88.24,57.38,0.178087,96.7,88.52,49.61,0.214365
impulse_noise_level 3,89.23,72.44,26.61,0.238758,98.72,97.83,61.29,0.215596,96.37,84.75,59.18,0.179042,97.83,73.47,52.31,0.278874,95.11,83.63,50.19,0.160742,98.16,85.61,27.95,0.245376,96.39,86.59,9.0,0.220991,98.57,89.36,81.51,0.234782,98.58,91.91,56.61,0.244462,92.79,87.28,53.48,0.244734,96.49,90.2,45.76,0.21634,95.87,78.97,57.23,0.19581,96.18,85.17,48.43,0.222959
impulse_noise_level 4,83.48,61.63,20.33,0.256619,98.35,97.35,61.74,0.226876,95.8,82.71,55.41,0.203696,96.87,70.68,45.78,0.285663,94.56,79.14,48.94,0.17951,96.22,77.57,25.33,0.267847,93.54,80.46,3.71,0.255808,98.13,87.04,80.61,0.249333,98.59,89.78,55.65,0.253059,92.15,83.19,49.79,0.266542,96.2,88.13,41.73,0.240129,92.68,73.4,54.21,0.221806,94.71,80.92,45.27,0.242241
defocus_blur_level 1,99.66,98.73,53.86,0.204504,98.73,98.42,59.24,0.236683,95.21,96.67,42.71,0.147918,98.65,85.72,69.31,0.300114,95.78,95.59,49.93,0.112143,99.77,97.67,34.29,0.199364,99.36,92.86,16.34,0.182983,98.7,90.08,78.35,0.231454,97.86,91.13,47.47,0.22418,95.84,92.01,51.47,0.220546,97.7,93.42,51.16,0.196267,99.25,98.37,63.25,0.148346,98.04,94.22,51.45,0.200375
defocus_blur_level 2,99.64,98.77,53.73,0.206158,98.61,98.49,59.37,0.234185,94.99,96.44,42.55,0.153925,98.66,85.47,69.37,0.303434,95.79,95.35,50.1,0.113471,99.77,97.33,34.38,0.197777,99.33,92.95,16.45,0.185589,98.64,90.26,77.82,0.229825,97.86,90.88,47.06,0.227481,95.7,91.84,51.38,0.227859,97.69,93.49,51.05,0.196708,99.27,98.3,64.02,0.150046,98.0,94.13,51.44,0.202205
defocus_blur_level 3,99.63,98.58,53.84,0.203488,98.35,98.24,59.4,0.237394,90.82,95.09,40.78,0.166843,98.65,85.27,68.96,0.292756,95.56,93.41,50.19,0.122623,99.76,96.89,34.13,0.207414,99.33,92.47,14.44,0.181761,98.39,88.4,75.82,0.232664,97.6,90.59,48.87,0.235247,95.47,90.13,51.29,0.239621,97.63,91.94,48.94,0.20793,99.25,98.02,63.04,0.158737,97.54,93.25,50.81,0.207206
defocus_blur_level 4,99.62,98.53,50.68,0.208971,97.07,97.67,58.66,0.244844,88.58,93.65,40.48,0.182803,98.64,83.3,67.65,0.283227,95.46,91.66,49.02,0.142952,99.64,94.8,34.37,0.213133,99.15,90.2,15.77,0.207495,98.22,86.5,73.62,0.237227,96.99,89.03,47.7,0.244146,95.03,85.4,51.34,0.250909,97.05,90.49,45.7,0.219528,99.06,97.5,57.9,0.182989,97.04,91.56,49.41,0.218185
motion_blur_level 1,99.14,94.94,36.25,0.188647,99.3,97.49,57.99,0.222237,93.58,95.92,63.26,0.140231,99.34,91.25,68.53,0.288594,95.9,94.74,46.12,0.11922,99.59,97.22,32.77,0.186928,99.36,96.41,14.43,0.176019,99.8,95.54,81.95,0.228398,95.7,86.34,44.05,0.235813,95.18,90.86,56.49,0.224169,98.07,91.96,42.6,0.195585,99.04,97.77,31.36,0.197646,97.83,94.2,47.98,0.200291
motion_blur_level 2,98.62,95.19,35.52,0.194312,99.27,97.7,58.16,0.223978,94.1,95.74,62.17,0.147293,99.37,92.58,67.5,0.279262,96.19,93.77,46.49,0.127314,99.49,96.2,34.31,0.207399,99.34,96.55,14.78,0.184636,99.79,96.04,81.18,0.234081,94.39,84.08,45.3,0.241316,94.3,92.09,56.14,0.233905,97.94,90.3,42.49,0.211458,99.17,97.61,33.69,0.189334,97.66,93.99,48.14,0.206191
motion_blur_level 3,98.09,93.41,33.49,0.189181,99.14,96.09,58.41,0.232036,93.84,95.7,61.4,0.158937,99.34,89.44,67.34,0.280038,95.28,92.5,44.22,0.144726,99.58,97.21,31.4,0.206026,98.87,95.09,11.04,0.207167,99.75,95.81,79.96,0.249279,95.27,86.77,41.83,0.248404,93.24,91.54,55.81,0.247358,97.41,89.39,40.98,0.232196,99.25,96.0,35.96,0.198344,97.42,93.25,46.82,0.216141
motion_blur_level 4,97.43,92.41,33.12,0.2319,98.2,92.23,55.74,0.23967,95.65,91.79,60.86,0.184763,99.03,89.95,67.36,0.270638,93.42,90.27,36.41,0.168479,99.05,93.46,29.89,0.221132,98.23,92.22,13.19,0.224716,99.55,94.9,76.54,0.272602,93.54,80.41,41.11,0.280637,91.31,88.27,50.24,0.279254,96.7,82.94,37.02,0.263116,98.66,95.26,30.83,0.222184,96.73,90.34,44.36,0.238258
zoom_blur_level 1,80.27,66.52,1.53,0.292075,87.81,65.97,13.04,0.328137,68.07,58.57,15.55,0.32604,96.49,53.01,39.9,0.365014,84.57,68.45,19.45,0.264709,88.95,39.0,0.83,0.254412,91.74,58.78,0.8,0.276326,91.88,63.42,17.1,0.401688,90.61,66.03,15.97,0.415482,90.95,74.83,16.33,0.404625,93.58,63.95,19.39,0.39669,87.37,74.38,25.29,0.315715,87.69,62.74,15.43,0.336743
zoom_blur_level 2,74.69,57.86,0.81,0.284022,81.8,50.88,4.89,0.325708,69.63,56.5,9.94,0.335505,94.42,46.92,22.08,0.388716,81.81,58.48,15.63,0.259149,84.85,25.87,0.53,0.274129,88.11,46.05,0.45,0.264571,87.87,58.3,6.48,0.422067,85.25,56.99,4.91,0.457462,88.88,70.12,8.89,0.452998,89.97,51.04,11.0,0.456785,85.98,72.68,21.97,0.336916,84.44,54.31,8.96,0.354836
zoom_blur_level 3,71.64,52.56,0.61,0.258367,77.09,41.66,3.44,0.354102,70.01,51.49,6.37,0.34337,90.67,39.98,7.86,0.362891,78.82,47.47,13.8,0.26814,81.79,20.13,0.37,0.28355,86.42,43.06,0.42,0.283713,83.32,50.71,3.52,0.357008,78.78,42.75,2.06,0.46608,87.36,63.11,4.2,0.456059,85.0,38.47,6.81,0.468956,84.89,57.87,19.34,0.324672,81.32,45.77,5.73,0.352242
zoom_blur_level 4,68.72,44.99,0.54,0.266367,73.2,34.62,2.51,0.351613,69.35,45.66,5.0,0.351044,87.6,31.46,5.79,0.360231,76.13,41.64,12.54,0.283176,78.62,16.81,0.3,0.299161,84.25,40.43,0.34,0.295904,78.13,44.05,2.7,0.361212,75.2,36.82,1.73,0.5223,85.81,61.79,3.24,0.4766,81.68,30.2,5.46,0.491899,83.12,51.77,17.41,0.326642,78.48,40.02,4.8,0.365512
brightness_level 1,98.22,92.82,33.83,0.188855,99.64,98.82,59.19,0.219866,92.88,94.92,53.9,0.152075,98.68,83.97,67.57,0.298431,95.36,94.75,47.18,0.112785,99.32,93.94,32.29,0.215774,99.44,96.31,16.57,0.178015,98.82,88.96,77.41,0.235204,95.17,90.38,52.94,0.238328,93.68,91.63,52.57,0.2321,97.69,92.56,45.87,0.200543,99.15,97.27,67.31,0.14683,97.34,93.03,50.55,0.201567
brightness_level 2,97.69,89.88,34.31,0.182559,99.64,98.63,59.28,0.222017,88.62,89.24,42.7,0.172852,97.02,75.01,63.56,0.292901,95.15,94.43,46.52,0.114839,98.9,92.0,31.16,0.214926,99.3,94.79,15.71,0.178546,98.79,87.35,77.0,0.242635,95.38,90.29,53.52,0.245481,93.15,89.94,50.62,0.24289,97.64,93.03,46.0,0.205746,98.21,92.47,55.44,0.169775,96.62,90.59,47.98,0.207097
brightness_level 3,96.67,86.02,25.72,0.206248,99.6,98.16,59.79,0.223393,80.38,79.64,30.68,0.192714,95.96,63.99,58.96,0.300391,94.82,94.21,45.7,0.121967,98.77,91.95,27.74,0.215301,99.01,94.89,14.45,0.189036,98.71,85.75,76.19,0.250914,95.57,89.97,52.96,0.251676,92.44,88.83,46.68,0.257923,97.7,94.04,46.64,0.218866,94.58,82.84,38.45,0.209667,95.35,87.52,43.66,0.219841
brightness_level 4,95.12,82.16,13.94,0.230628,98.55,91.94,53.9,0.258859,72.96,70.51,22.55,0.200329,94.18,52.88,41.3,0.324511,94.15,93.36,44.31,0.133811,98.57,90.85,26.39,0.224098,98.81,94.33,13.49,0.182821,98.63,84.9,73.93,0.262634,95.52,88.83,52.21,0.260288,91.52,87.31,41.18,0.274936,97.15,92.33,44.77,0.225826,86.45,65.67,19.66,0.244304,93.47,82.92,37.3,0.235254
